#word,meaning,option1,option2,option3
低估,underestimate,reasoning,to estimate,unexpectedly
寄宿公寓,boardinghouse,guise,vigilance,inquest
杰出,mounmental,particular,unreasonable,out of the ordinary
辉煌,brilliantly,interesting or pleasant to listen to,blur,dazzle the eyes
（总称）神话,mythology,pathology,anthology,inaction
理解,comprehension,proficient,forget,to remember
伪装,camouflage,to pant,outstanding,suspend
产卵,lay,gay,lash,may
后面,rear,earn,roar,spar
公民（的身份）,citizenship,tune,assertion,equatorial
圣所,sanctuary,sanitary,presidential palace,White House
盐水,briny,gall,slip away,drop
优先,priority,probity,often,gradually
附加,attached,to put in,to work,appreciation
主管,superintendent,grasp,to have a holiday or vacation,to conduct
卓著,distinguished,fly one's onw colors - develop a school of one's own,matchless,specific
消化,digest,divest,digit,digress
啮齿类动物,rodent,resent,potent,foment
地方主义,provincialism,selfish departmentalism,nationalism,money worship
煽动,agitation,imitation,capitation,animation
不适当的,inappropriate,know,dandle,remove
薄雾,haze,sake,adze,hall
皱纹,wrinkle,crinkle,tinkle,sprinkle
（使）循环,circulate,circular,calculate,reconcile
惊吓,scare,sale,share,care
镶嵌（板）,panel,page,pal,angel
击退,repel,repeal,reel,reply
使磨损,fray,era,fear,drag
观众,audience,ambience,reader,listeners
磁铁,magnetic,magnesia,magneto,magnetism
模拟,simulate,stimulate,emulate,stipulate
先天,congenital,congenial,external,reliable
发酵,fermentation,function,real results,ferment
繁殖,multiply,multiple,lay ,breeding
更多,further,farther,feather,father
很严重的,acute,acuity,cue,cure
宣布…的消息,herald,herd,emerald,heal
才能,faculty,acuity,faulty,fault
亲密,intimacy,acquaintance,ruin the effect by adding what is superfluous,indispensable
脚后跟,heel,heal,hill,seal
谴责,condemn,condom,concern,refute
文学（上）的,literary,literacy,literal,library
水翼船,hovercraft,overdraft,sail,canoe
编成法典,codify,modify,bodily,acidify
明亮,luminous,mutinous,glutinous,voluminous
不尊敬的,irreverent,clout,calendar,trench
分发,distribution,give,to send out,to receive
把…分类,classify,classy,classic,clarify
改造,reconstruction,to ease,worsen,relax
电子管,tube,babe,tie,cube
污染,stained,stir,immunity ,attract 
异常的灾祸,catastrophe,socialist,compiler,buttonhole
怀疑,incredulity,can,half-believe, half-doubt,confident
圈,loop,lop,loom,too
严肃,serious,specious,nervous,various
破浪神,figurehead,wasteful,darling,beautician
绘画,painting,facsimile,to correct printing errors,revise
霜冻,frost,frosty,front,fruit
才能,flair,flare,affair,flay
为沐浴,lave,workday,visa,willowy
活泼,frisky,generous,naughty,filial piety
比…长久,outlast,outcast,outpost,outclass
住宅,residential,large building,compost,building
重建,reconstruct,to build,to establish diplomatic relations,located at
终止,termination,market close,up to,close down
骑士气概,chivalry,boast,extend ,modesty
刑罚,penal,pen,tonal,weal
自传,autobiography,a news story ,record,magazine
清洁剂,detergent,emergent,deterrent,heroin
大草原,prairie,praise,perforate,denture
锯齿状的,serrated,fan,callous,builder
水中呼吸器,scuba,graphic,bin,oblige
不便,inconvenient,to start work,fluffy,chaos
有竞争性,competing,the corresponding time period ,fairly,the same year
表皮,epidermis,skin,flesh,sinew
航海日志,log,ok,woo,lot
奔流,torrential,to drain,flow,carried by the current
最初,initial,inimical,initially,instil
可触觉的,tactile,active,ductile,facile
安心,securely,gentle,calculation,ashamed
适度,modest,midst,modesty,eldest
纱,yarn,yank,warn,fawn
铁匠,blacksmith,locksmith,indentured laborer,forger
客观,impersonal,personal,not an example to be followed,make do
商业,mercantile,post and telecommunications,industry,electricity
即席演奏者,improviser,circulate,destroy,monitor
分析,assess,access,possess,assent
驱逐,expel,excel,expert,expend
使窒息,choke,cone,chafe,stoke
令人吃惊,astounding,desultory,besotted,wade
不变,constant,constraint,consonant,constancy
发生频率,incidence,accidence,incident,headway
使人畏缩,daunting,fraternize,thicket,near
消化,digestion,to cough,analgesic,catch cold
出租马车、汽车,cab,can,garb,con
（植物）患锈病,rust,oust,rusk,trust
机敏,astute,state,attune,assume
电报,telegraph,telegraphy,telegram,material
鬼迷心窍,obsessed,feel unsure about something,fascinate,be accustomed or used to
令人激动,breathtaking,kendo,ahead,halt
雕像,statue,state,statute,stature
不发达的,underdeveloped,pennant,inferno,filament
媒体,media,merit,medium,medical
呼吸,breathe,wreathe,breath,create
生计,livelihood,likelihood,potluck,repast
建造者,wright,banker,investigator,philosopher
剥…的壳,husk,hush,tuck,husky
轨道,path,paste,watt,pack
气候,climate,primate,climax,cremate
确定方向,orient,print,client,trident
比较,comparative,with regards to,to follow,in conformity with
茶壶,teapot,depot,weapon,tempo
推进物,propellant,rake,pane,unmatched
敏捷,agility,late at night,high efficiency,disappear without trace
野心,careerism,appetite,requirement,an old grudge
无能,inability,show no understanding of the times,grand talents mature slowly,ignorance
喝彩,applaud,applause,call out,growl
没受干扰,undisturbed,wander,unruffled,panicky
优点,merit,emit,debit,exit
新鲜,freshness,unprecedented,pretty good,qualified
秃鹰,condor,bucolic,wreck,pleasantly
得到,obtain,brain,ordain,abstain
常绿,evergreen,sagacious,readiness,daub
分部,subsection,Defense Department,post office,Ministry of Finance
感知,perception,perceptive,reception,deception
嘲弄,gibe,gore,jibe,guide
织物,fabric,cambric,rubric,clothes
（动物）驯服的,tame,mate,tone,nape
间隔时间,interval,integral,internal,infernal
磨（擦）破,abrasion,abrasive,grieve,column
使变形,deform,reform,form,dorm
掩蔽,shelter,shelve,halter,swelter
绵纸,tissue,issue,tussle,fissure
罢工,walkout,hold a  demonstration,teacher's strike,strike
承认,concede,convene,concise,concert
固有,intrinsic,extrinsic,ready,ready made
称心的职务,niche,nice,night,dice
提醒,remind,behind,remand,repine
保持,retain,retail,remain,repair
加料于(食物),enrich,entice,rich,wet
群岛,archipelago,field,delta,archipelago
毁坏,devastate,to smash,decay,sink into
不可抵抗,irresistible,forerunner,absolve,prison
裂缝,rift,tear up ,burst,to break
指数,exponential,variable,for a time,number of times
追溯,trace,track,truce,brace
针对,aim,bum,fit,axis
入侵,invasion,incision,infusion,inversion
改革,innovation,intonation,invocation,to yield
全世界的,worldwide,drape,slender,lawsuit
寒冷,frigid,fright,rigid,origin
美德,virtue,virile,virus,virtual
膨胀,distent,reorganize,popularize,to enlarge
委派,delegate,relegate,legate,elevate
收益,proceeds,surplus,fine ,wear and tear
新古典主义的,neoclassical,stale,perjury,mesmerism
人口稠密,populous,miscreant,lifeless,villa
运动,locomotion,locomotive,racing current,convection
阴谋,scheme,schema,chime,theme
公开,publicity,duplicity,publicize,unimaginable
宿舍,dormitory,decorated archway,factory ,decrepit house
惊人,astonishing,trunk,urgent,amiable
积聚,accumulation,to line up,to extend ,disseminate
民主政治,democracy,democrat,money worship,"local -ism"
庞大,giant,cant,guano,ant
商议好的,concerted,to allow,confer,talks
不明确的,implicit,implicate,illicit,simplicity
元音,vowel,bowl,owe,towel
使固定,fasten,fatten,master,baste
勾引,seduce,deduce,reduce,adduce
骚扰,infest,incest,inept,inset
严酷,harshness,not censure sb for his past misdeeds,petty,vehement
压紧,compaction,ruler,hundredth,surface
锦标赛,championship,cock fighting,championships,finals 
残余,remainder,reminder,numb with cold,short-duration
有…倾向,disposed,saunter,jollity,tribunal
空闲,leisure,pleasure,leisured,ensure
恰当,apt,at,aha,act
压迫,pressure,presume,treasure,pleasure
西班牙的,Hispanic,grow,senile,except
宇宙,universe,universal,diverse,unversed
剥夺,deprivation,cut off the feet as punishment,confiscate,banish
入迷,fascination,incapable,embarrassed,hate to leave a place where one has lived long
系,attach,attack,attache,attract
合作,collaboration,to try,to issue,fully displaying one's capabilities
光辉,lustrous,luscious,with force,be a cinch
石匠职业,masonry,mason,mastery,hectic
区别,distinguish,comparable,to ascertain,distinguish
未使用的,untapped,flip,pitch,stubble
松弛,relaxation,reparation,relation,name of a collection of short stories, Pang Huang, "Wandering About", by Lu3 Xun4 鲁迅
印第安人村庄,pueblo,domestic,effete,light
具体,concrete,concede,contrite,yes
放肆|无礼的,bold,board,solid,fold
人口调查,census,versus,Jesus,consul
暴风雨,thunderstorm,light rain,mineral spring,waterfall
高度装饰,baroque,shunt,spice,elegy
排除,elimination,scrub,quench,cause to perish
老练,sophistication,ignorance,myopia,grand talents mature slowly
医务室<美>养老院,infirmary,infirmity,Beijing university,Harvard 
亲切和蔼,benign,design,beige,ensign
优雅,graceful,peaceful,grateful,shallow
荒凉,bleak,leak,blend,cloak
资金,fund,sun,fond,funk
难以置信,incredible,credible,half-believe, half-doubt,earnest
统治,reigning,hold a  demonstration,monopolize,south side
以珠装饰,beaded,booby,fill,propagate
领导能力,leadership,chloride,axial,again
令人气馁,discouraging,marsh,sensor,modernism
拉格泰姆音乐,ragtime,underdog,needle,welcome
评价,appraisal,appraise,umpire,roll call
多角形的,polygonal,lapse,package,earthly
部分,section,seduction,reaction,selection
结伴,mate,pate,muse,cake
节约,frugality,extract,balance,to waste
史诗,epic,edit,edict,exit
偶然,fortuitously,never,unexpectedly,ensure
领带夹,stickpin,coral,ring,lace
伸展,stretch,scratch,stench,retch
达到,attain,captain,train,stain
在（船、飞机、车）上|上（船、飞机、车）,aboard,board,abort,beard
地形学,topography,typography,mouth,martyrdom
有雄心的,ambitious,ambiguous,ambition,gage
（气味）刺激的,penetrating,mine,endeavour,function
郊区,suburb,suburban,suture,sunburn
烤,roast,boast,feast,toast
隐藏,obscure,obscene,be away for the summer holidays,lie low
语言上的,linguistic,linguist,untruth,undivided
预算,budget,budge,buffet,bullet
污点,stain,detain,spin,stab
基础,fundamental,restrict at,boundary,underline
合成,synthetic,synthesis,to part,share responsibility
掩饰,belie,bee,lie,feline
未触及的,untouched,contumely,refinery,afforest
调味品,condiment,confident,continent,bean products
呼出,exhale,hale,exalt,inhale
灿烂,gorgeous,beautiful,pretty and flirtatious,good-looking
燕子,swallow,shallow,wallow,wallop
美味,delectable,not just in name only, but also in reality,live ammunition,honest
影响深远,far-reaching,shallow,reaction,bloody
滑动,glide,slide,slice,elite
（贸易）进口,import,sport,report,port
剩余,residual,dynamic equilibrium,balance,sufficient
红辣椒,chilli,burrow,shoemaker,canvas
扩散,diffusion,disperse,break up in discord,to rush 
作为…的例子,exemplify,exemplary,glimmer,easterly
神话,mythical,notebook,short story,children's fairy tales
（货币）面额,denomination,dazzle,hag,penthouse
炸药,explosive,explosion,expensive,expansive
鞘,sheath,sheathe,heath,shear
粘着物,adhesive,habitual,didactic,modernism
有相互关系的,correlated,extirpate,streamer,ignoramus
赤杨树,alder,shun,reach,stark
补助,subsidize,subside,vocal accompaniment in some traditional Chinese operas,to assist
古怪的（人）,eccentric,geocentric,slow,salvation
按年代顺序排列的,chronological,client,realty,carpet
随风飘飞的雪,snowdrift,cession,holy,council
混乱,confusion,collusion,concussion,infusion
周期,periodical,periodic,cycle,the corresponding time period 
避难所,haven,ravel,waxen,cavern
大致,roughly,life insurance,could it be,take care of
纠缠,entanglement,to go into effect,parallel connection,mutual confrontation
爽快,exhilarating,relaxed,to satisfy,to intend
发明,devise,revise,device,desire
明了,intelligible,see clearly,to remember,concerned
满腔热情,enthusiastically,conceited,dull,indifferent
包裹,package,passage,bind up,pave 
无数,myriad,byroad,there is no lack of,all
失业,unemployed,dismiss from office,pleased with oneself,Chinese style
捷径,shortcut,midway,ladder,the Long March
陆军上校,colonel,colony,colored,colonial
半球,hemisphere,volume,area,hemisphere
热情,fervor,generous,meekly,barbarous
凹陷处,depression,repression,oppression,impression
作壁画于,fresco,fiasco,fresh,hereditary
苔原,tundra,Kashmir,Africa,Diaoyutai
手工艺品,handicraft,object,exhibit ,enclosure
挤成一团,huddle,muddle,cuddle,hurtle
拥有,possess,assess,hostess,obsess
小心翼翼,scrupulously,careless,intermittently,serious
动机,motive,local flavor,decision,view
包装工人,packer,facetious,locust,cosine
争吵,brawl,trawl,scrawl,frail
焊接,weld,pelt,welt,wild
现在,currently,current,currency,at the present time
辅助,auxiliary,consolation,sell ,express sympathy, greetings, consolation, etc.
出租车,taxicab,trolleybus,automobile,vessels
核的,nuclear,clear,nucleus,undecided
重担,load,foam,boar,loot
砍,chop,hope,chin,shop
(钟表的)主发条,mainspring,gush,secondly,about
蜡笔、彩笔及其绘画,crayon,rayon,canyon,croon
协调,harmony,hormone,detailed,endless
趣味相投,congenial,congenital,congeal,abandoned idea
吐露（心事）,confide,confine,bonfire,confirm
肝脏,liver,livery,shiver,linear
实现,realization,tarry,successfully accomplished,final version or text
补充,replenish,widen,addendum,pay retroactively
未驯服的,untamed,horsewhip,piano,gout
(穷人)公寓,tenement,element,vehement,overstrung
撞击,impact,impart,import,impale
检验,checkout,checkup,for future reference,to inquire
装饰,adornment,make,clone,set up
喉,larynx,lynx,goal,physiology
憎恶,repulse,refuse,repute,pulse
符合,conform,consort,condom,confirm
慢性,chronic,ironic,carbonic,chronicle
持久,abiding,proficient,lazy,careful
竞争能力,competitiveness,hegemony,drunkard,friend
公式,formula,formal,formulate,open seam of a garment
浓缩,compression,pull back,foster,to extend
尺寸,dimension,diversion,dissension,amplitude modulation
指责,accuse,acute,arouse,accursed
使…分心,distract,district,abstract,distinct
诱人,inviting,rape,to menace,extract
在…之前,precede,recede,precept,preclude
消散,dissipate,derivative,to lose,to destroy 
合唱团,chorus,crocus,corps,chord
