#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
错误,errant,shoot with great precision,garble a statement, etc.,reasonable and fair
撕裂,tear,team,wear,peer
玷污,taint,tacit,point,tact
要点,plank,clank,prank,land
遗忘,oblivion,oblation,concerned,have an insight into
宴会,banquet,barque,bouquet,parquet
异端,heterodox,heterodoxy,shortsighted view,consensus
预防注射,inoculate,dissect,fluid infusion,surgical operation
多种,multifarious,about,multiple,discount
典礼,ceremony,hegemony,burial,Taoism
后悔,rue,duo,grub,June
油腔滑调,unctuous,be smooth and slick ,wise and farsighted,bright
(士兵)离营,decamp,damp,decant,decay
分贝(音量的单位),decibel,decide,decimal,immobile
神秘,uncanny,canny,nanny,feasible
齐奏,unison,union,bison,prison
(指数个圆)有同一中心的,concentric,littoral,councillor,mutiny
想法与众不同的人,maverick,sterilize,herbage,approve
管道,pipeline,sideline,on the spot,network
食人者,cannibal,carnival,ignoble,shit
好色,lecherous,yellow,pitiless,peace and security
良心,conscience,conscience,curiosity,privacy
准确,nicety,nicely,ninety,naivety
愚人,loon,sucker,smatterer,good-for-nothing or queer character
海拔,altitude,aptitude,attitude,platitude
精神病,neurosis,neurotic,epidemic,internal  injury 
犯罪,perpetrate,penetrate,perpetuate,remit
(无证据)陈述,allege,allure,alley,college
兄弟或姊妹,sibling,sanity,better,bane
叉,cutlery,cutler,cutlet,scullery
恐高症,acrophobia,compost,cardboard,mulberry
强有力的,mighty,might,eight,tights
有经验的,seasoned,boyish,make nothing of hardships,have little talent and less learning
颠倒,topsy-turvy,to spread out,array,wall hanging
无法驾御,pertinacious,bamboo,without,anyone
潇洒,rakish,dignified,be slovenly,lively
相混,ore,mutual,zoologist,click
倒车,reverse,revere,reverie,obverse
危险,jeopardy,sag,calamity,miserable
困惑,perplexity,be attached to one's native land and unwilling to leave it,sag,on guard
矫揉造作成癖,mannerism,magnetism,exhume,affluence
对比,contrast,contact,contract,contrary
压迫,oppress,express,repress,empress
申请人,applicant,supplicant,team companion,member
取消,negate,debate,legate,rebate
听得见的,audible,laudable,auricle,edible
群居,gregarious,precarious,to make a living,break off diplomatic relations
碘,iodine,dine,cosine,borneol
不顺从的,disobedient,landholder,lord,twofold
做手势表达,gesticulate,kilobyte,crank,mammal
精确描绘,blazon,bacon,blazer,baron
被遗弃的人,derelict,bloodless,earshot,tuition
焚化,incinerate,to light a fire,an iron,heating
世俗,temporal,temporary,uncorrupted,chastity
敏化,sensitization,armour,apparition,global
变得粗糙,roughen,warranty,ignorant,crave
围裙,apron,spoon,prop,pro
正面(的),obverse,reverse,diverse,obese
酒商,vintner,manufacturing company,publisher,commander
阐明,elucidate,vindicate,to point out,reiterate
低垂,droop,swoop,romp,drone
花岗石,granite,grant,grate,grange
颁布,promulgate,monopolize,give an order,give somebody a task
退却,recoil,recoup,rejoin,coil
毒素,toxin,thin,toil,toxic
预知,foreknowledge,tacit,indulge,home
熄...怒火,defuse,specially,strand,buffalo
朝圣客,pilgrim,master,elder,nun
判罪,conviction,convection,condition,connection
参考书目,bibliography,arguable,trill,elevation
粗人,lout,gout,lute,rout
坦率,straightforwardness,to moderate,not benevolent,genuine
歌唱或背诵,chant,pique,handy,postwar
压缩,compress,congress,empress,oppress
裂口,fracture,feature,rapture,to stand upright
仔细考虑,ponder,poker,order,tender
虚构的东西,figment,pigment,filament,foment
漫射,diffuse,infuse,suffuse,disuse
新手,tyro,two,tyre,tar
背弃者,deserter,tongue,a wretched-looking tramp who lives by begging or stealing,refugee
判决,adjudicate,public trial ,reach a conclusion,summon for interrogation
高架渠,aqueduct,name of a place, Gezhouba Dam on the Changjiang River, in Sichuan,snare,mine 
耳语,whisper,whisker,whimper,whopper
目睹,behold,behalf,beyond,uphold
将...藏于,cache,catch,pace,cycle
疑惑,incertitude,be accustomed or used to,fascinate,thoughtful
靠不住的,parlous,calamity,happy,exhausting
介入,intervene,intercede,interfere,meddle
命名,denominate,dissolve,exempt,to run a newspaper
使成熟,ripen,ripe,open,rite
即兴演讲,adlib,capsule,machine,convulse
烧烤,broil,ham,steak,red-cooked  meat
恐怖,grisly,grille,grassy,grill
没精打采,languid,languor,languish,high-spirited
无所不在,ubiquitous,iniquitous,tap,adoption
极力声明,aver,ever,ajar,hover
嘲笑,mockery,crockery,hockey,cookery
肥料,fertilizer,fertilize,sponge,fertilizer
耕种,husbandry,husband,to plow,to develop
慢而平静地前进,jog,jot,jug,joy
忘恩负义的人,ingrate,licentious,dessert,spirit
傲慢,haughty,naughty,naught,draughty
使复活,resuscitate,hamburger,liquor,drum
关节炎,arthritis,inflammation of the lungs,arteriosclerosis,unmentionable disease
行动迟钝,sluggish,many years,frequency,adult
天真无邪的少女,ing,gravel,backfire,boon
消弱,sap,seal,lap,safe
挖苦,ironic,iron,sonic,tropic
非常整洁,well-groomed,twelve,casuist,sociology
大型轿车,limousine,cool,cocoon,twinkle
胡扯,waffle,baffle,duffle,raffle
乞求者,supplicant,supplant,applicant,supplicate
节奏强的,pulsating,optional,henchman,foal
空中秋千,trapeze,mar,borrow,log
罪行,guilt,jilt,gust,quilt
秘密的行动,stealth,sheath,health,steal
资助,endow,enjoy,widow,snow
成熟,full-fledged,to lift a ban,scattered,to have the ears of grain come up
混乱,welter,welt,weather,pester
不足,insufficient,to lack,loss,extant
(病)难治的,refractory,refectory,dandy,shrimp
夸张,far-fetched,tell a lie,verify,brag
(船等)压舱物,ballast,ballet,blast,gallant
恐惧症,phobia,overwork,devalue,odour
可解释的,explicable,leverage,rotunda,Bible
攻击传统观念或风俗的人,iconoclast,bizarre,neglect,decimal
反对,disapprobation,to support,endorse,to put up with
从前,erstwhile,at this very moment,prior,time immemorial
流行一时,faddish,world,place,antiquity
矮胖,stocky,stock,sticky,stick
飞机库,hangar,hanger,haggard,hanker
短暂,transitory,transistor,far away,temporary
美食家,epicure,picture,economist,maker
挤压,press,cypress,tress,prowess
辱骂,vilify,curse,hoot,quarrel
蒸馏,distill,silvering,spinning ,distill
引起同情,touching,rose,pervert,hypnotize
敏锐,acumen,acme,acute,bright
奴隶,thrall,socialist,reformer,voter
割让(土地权利),cede,cane,code,cage
分裂成小片,disintegrate,to say good-bye to,trinity,to bind
昏睡,lethargic,beginning or continuing an action,health protection,slumber
不能改变,unchangeable,tip,waterfront,chemical
绑架,abduct,abrupt,addict,deduct
不屈不挠,perseverance,resolute,valiant,do whatever one pleases
确证的,corroborative,coach,discard,infectious
汽车前后的保险杠,bumper,jumper,dumper,bomber
轻蔑,slight,plight,blight,sunlight
广大,amplitude,aptitude,to be rich in,symmetry
谣言,canard,rumor,anecdote,report of success
免疫,immune,immense,impure,immunize
化身,reincarnation,welder,identikit,drown
孩子,brat,beam,bra,berate
(法官所用的)槌,gavel,duplicate,reprieve,glee
喧闹,boisterous,to crowd,cold,solemn
要求严格,exacting,chameleon,worship,anodyne
通电,galvanize,galvanic,galvanism,connector
老人病学,gerontology,slope,gardener,differ
胆小,cowardice,awkward in speech,muddled,to be indifferent
全权,plenary,penury,bleary,plenty
(声音)压低的,muffled,oxygen,pillow,industry
迷惑,captivate,cultivate,activate,captive
雪白,alabaster,grizzled ,brown,pale
知道,cognizant,to discover,to know,forget
横跨一步以躲避,sidestep,twice,minimum,conical
兰花,orchid,Peony ,Cinnamonum cassia,plum blossom
糟粕,dregs,treasure,goose feather,barrier
减去,deduct,depict,abduct,defect
听觉,acoustic,caustic,acoustics,perception
极大痛苦,anguish,languish,vanquish,roguish
争执,dissension,dimension,written polemics,answer back sarcastically
(作为胜利标志的)花环,garland,grand,gland,gallant
网目,reticulation,square,tetrahedron,sphere
聚集,congregate,to have a reunion,to muster,to separate
愉快,jovial,social,oval,ecstasy
幸福愉快感,euphoria,ingredient,barrister,ably
夸张,orotund,tell a lie,advertise,brag
虚弱,infirm,inform,confirm,affirm
高速公路,freeway,leeway,freely,path
令人厌恶,repellent,acumen,venal,objective
可行,feasible,sensible,not show one's feeling or intentions,to no purpose
拙劣的模仿,parody,prod,tardy,proxy
不受约束,uncommitted,pizza,nature,fowl
暴君,despot,depot,teapot,desert
组织适合性,histocompatibility,execrate,cage,undercut
零售,retail,detail,rental,retard
不过分的,moderate,tolerate,operate,macerate
无可救药,incorrigibility,etymology,carol,lockup
自私自利者,egotist,wide,decapitate,oleaginous
肉体,corporeal,lower half of one's body,leaven,upper part of the body
粗鲁,asperity,venerable,impatient,verily
仪式,ritual,mutual,actual,rival
使不满,disaffect,quotient,warden,manlike
肩带,sash,bath,gasp,spasm
工具,implement,complement,inclement,LP
不和谐的,dissonant,dissonance,nominal,satirize
懦夫,poltroon,cowboy,reader,martyr
新石器时代的,neolithic,steal,lint,macaroni
骚乱,turbulent,purulent,peace,peace and happiness
穿衣,don,die,din,urn
支付,disburse,disguise,disuse,disperse
纯朴,ingenuous,ingenious,heartless,merciless
上升,upswing,to attenuate,rise,raise up
骄傲,upstage,wastage,uptake,upstart
(外形或方式)怪诞的,grotesque,normalization ,nondescript,abnormal
不肯轻信,incredulous,petulant,ordinary,dubious
犁,plough,cough,enough,plug
令人厌恶,objectionable,retire,watchword,gipsy
看得见的,observable,unofficial,vague,obvious
困境,dilemma,circumstances,accusation,infernal
使成颗粒,granulate,preeminent,bookseller,canker
离题,digressive,crash,topic,over and over
把...磨成浆,masticate,castigate,variable,beneficial
腐蚀,erode,erase,rote,prude
固执的念头,obsession,possession,session,mystify
(可供活动的)余地,leeway,freeway,loft,negligent
(文艺的)类型,genre,basketball,ordain,rite
无动于衷,impassive,impressive,passive,massive
南极,Antarctic,south pole,planet,the prime meridian
杏树,almond,ipecac,shrub,laurel
壮观,spectacular,spectacle,spectacular,describe
引起烦恼,disturbing,syrup,mortar,pigsty
邋遢,sloppy,slops,floppy,snappy
自由作家等,freelancer,scout,composure,jargon
幽默讽刺短剧,skit,knit,skid,sail
雕刻,carve,care,cave,scare
(说)两种语言的,bilingual,trilingual,booth,aural
窃笑,snicker,germinate,smile,to have the ears of grain come up
报复,requite,respite,requital,require
压制,squelch,quench,insuperable,to contain
问卷,questionnaire,enclosure,files,proposal
松弛,lax,gap,lot,lay
哄诱,coax,cow,cog,coke
令人讨厌,rebarbative,computer,esthetic,menace
可敬畏的,redoubtable,afterwards,ancestry,nominee
机敏,ready,steady,rowdy,react
互相依赖,interdependent,impart,syllabus,realm
定量配给,ration,rayon,faction,nation
贫穷,penury,pantry,tenure,plenary
首字母简略词,acronym,crony,antonym,domain name
使相同,unify,unity,deify,sniff
血管,vascular,muscular,lifeline,vein
木槌,mallet,pallet,valet,maple
使服水土,acclimate,cleaner,suggestive,bastion
草率,unadvised,take to heart,endure,careful
越轨,aberrant,illicit,legal,soon
隐性遗传,recessive,wherefore,conference,eyelet
名声,celebrity,celerity,celebrate,famous reputation
檐口装饰线(在房柱顶端的突出装饰线),cornice,nonaligned,ballot,parquet
值得信赖,trustworthy,ready made,foreign,using a talented person in an insignificant position
糖尿病,diabetes,diameter,stomach illness,heart disease
广阔,spacious,specious,rapacious,sagacious
熟知,acquaintance,unnecessary,urgent,indispensable
热诚,cordially,deferent,hypocritical,to hear told
脑炎,encephalitis,paralysis,to sleepwalk,cataract
神龛,shrine,shrink,supine,sprite
(以烈火)烧灼,sear,spar,seek,shear
威严,august,August,augur,adjust
没有根据,unwarranted,twilight,fiery,sup
(为特殊目的)全套用品,outfit,outwit,outlet,outset
洞窟学,speleology,quinine,retort,inundate
笨拙的,maladroit,drifter,transient,spate
无力,nerveless,male and female,to blush ,have difficulty walking
四溢,exude,erode,prude,denude
吊高,hoist,joist,foist,host
忠实,steadfast,irascible,moderate ,hypocritical
明确,definitive,definition,infinitive,definite
为某物杀菌或消毒,disinfect,militarize,slip,aloof
无资格的,unqualified,infuse,figment,holster
不满,repine,respite,refine,reside
争吵,squabble,equable,stubble,quibble
深谷,gulch,Fragrance Hill ,Honolulu,Wuxia Gorge, in the Changjiang River Three Gorges
(脾气)温和的,equable,enable,squabble,eatable
破旧,dilapidated,flirtatious,good-looking,saucy
松鸡,grouse,rouse,spouse,grouch
承受(困难),sustain,dustbin,curtain,stain
(坏情况)开始发作,onset,bonnet,inset,insect
受法令所约束的,statutory,galvanism,sauce,misdeed
完成,accomplish,accomplice,routine,to take drugs
残害,mutilate,motivate,mitigate,harmless
纠缠,pester,fester,peter,heater
保镖,bodyguard,tend,to safeguard,wait upon
粗野,lowbred,rash,respectfully,zest
完整,intact,insect,infant,impact
大房间中隔出的小室,cubicle,auricle,cubic,butt
炎热天气,sizzler,flax,hindrance,tapioca
懒洋洋地坐或卧,loll,foil,lilt,doll
(宗教等)派系,sect,heat,seek,pact
拍卖,auction,action,sanction,suction
凶兆,portentous,symptom ,omen,damping
有势力的,predominant,faithless,dubbin,typist
发光,radiance,whimper,to radiate,radiation
教学法,methodology,a  practice,finger method ,multiplication
失语症,aphasia,goodness,devalue,harp
违抗,defiant,against ones will or feelings,lit.: slap the table and shout with praise,scoff
暂时中止,interrupt,intercept,saturnine,assume
灵巧,dexterous,slow ,show no understanding of the times,mechanical
克己,abnegate,negate,abrogate,implicated
无价值的,nugatory,brief,symmetry,incisive
最接近的,proximate,proximity,primate,one by one
异教徒,infidel,saint,worshipper,money grubber
卵行,ovoid,expiate,pioneer,witch
平底无脚杯,tumbler,tumble,rambler,fumble
琐事,trivia,classified ,anecdote,marvel
触角,antenna,wing,ankle,bear paw 
欺骗某人,defraud,defray,fraud,homemade
嬉戏,frolic,colic,ironic,tropic
叫卖小贩,huckster,guest,company,manufacturing company
撒,strew,straw,strip,stew
贫穷,needy,need,heed,weedy
深谋远虑,calculating,to plan,partner in crime,raise 
休闲的土地,fallow,hallow,wallow,allow
(商店上挂的)招牌,fascia,highbrow,educate,weld
可恨,abhorrent,absorbent,abhorrence,touching
解剖学的,anatomical,alkali,corner,topsoil
仓库,warehouse,pillbox,store of arms,barn
要点,gist,list,lilt,mist
荒凉,desolate,detonate,deflate,isolate
亵渎,sacrilege,take a risk,remedy,to be ready to risk one's life 
沉着,self-possession,pressing,thirsting or hungering for sth.,ashamed
草率,perfunctory,make nothing of hardships,sumptuous,make up to
和解,reconciliation,to fawn on,to yield,fawn
纵容,humor,despite,to deceive,put under one's protection
全体意见一致的,unanimous,gland,curiosity,behind
(动植物分类的)门,phylum,asylum,plum,margin
类似,similarity,almost similar,like,solemn
易受影响,impressionable,shoplifter,steamy,filmstrip
催眠药,narcotic,arctic,stentorian,locomotive
谴责,reprehend,represent,apprehend,revelation
