#word,meaning,option1,option2,option3
rekindle,重新点燃,春天,集会场所,社团
perch,(鸟)栖息,通知,工作日(指除周六、日以外的日子),使…分裂
ballad,歌谣,史诗,口号,古风
sophisticated,(仪器)精密的,一生,用带系上,呼吸
clarify,澄清,歪曲,改正,画蛇添足
parabola,抛物线,内心,断面,线条
lugubriousness,悲哀,犯愁,狂喜,悲恸
errant,错误,笔误,勉强,断章取义
tear,撕裂,扶,拔掉,掰
taint,玷污,效忠,致力,拼命
plank,要点,故事,本事,言语
oblivion,遗忘,记得,哀悼,精通
banquet,宴会,记者会,条例,联席会议
heterodox,异端,偏见,政见,短见
inoculate,预防注射,补液,扎针,动手术
multifarious,多种,多数,左右,多少
ceremony,典礼,拜物教,伊斯兰教,婚礼
rue,后悔,不理,闭门思过,悔罪
unctuous,油腔滑调,灵敏,僵硬,笨口拙舌
decamp,(士兵)离营,害怕,有价值的,接收
decibel,分贝(音量的单位),格言,运动场,烟筒
uncanny,神秘,可行,不知所云,神奇
unison,一致的或协调的行动,认可,刽子手,以…为基础
concentric,(指数个圆)有同一中心的,右,导致,必定
maverick,想法与众不同的人,公寓套房,太,注意到
pipeline,管道,电路,电话线,主干线
cannibal,食人者,抚摸,公司,把..拍成电影
lecherous,好色,无情,贞洁,卑鄙
conscience,良心,存心,好奇心,丹心
nicety,准确,断章取义,成立,笔误
loon,疯子,残废,病家,受难者
altitude,海拔,厚度,调幅,深度
neurosis,精神病,性病,瘟疫,暗伤
perpetrate,犯罪,赦免,抢夺,绑架
allege,(无证据)陈述,上述,详述,记载
sibling,兄弟或姊妹,文学,确实,尖端
cutlery,叉,清洁,恢复,月份
acrophobia,恐高症,爆炸,初步,应该
mighty,强有力的,根深蒂固,虚弱,粗劣
seasoned,有经验的,拖拉,饱经风霜,消极
topsy-turvy,颠倒,壁挂,罗列,厝
pertinacious,固执,糊涂,无所不能,眼尖
rakish,潇洒,不羁,开阔,不甘心
ore,相混,满口,缺乏,大概
reverse,倒车,改组,改编,变调
jeopardy,危险,大喜,辛苦,治安
perplexity,困惑,习以为常,全心全意,迷住
mannerism,矫揉造作成癖,逐渐增加,行礼,是
contrast,对比,辨认,分别,比较
oppress,压迫,讹诈,诱拐,迟暮
applicant,申请人,部属,上边,爪子
negate,取消,免费,定名,独创
audible,听得见的,便宜,火苗,暗号
gregarious,爱社交的,规划,真心,害怕
iodine,碘,冰片,软膏,泻药
disobedient,不顺从的,香粉,(风等)怒吼,堤
gesticulate,做手势表达,收到..的信,裂缝,快乐
blazon,精确描绘,自从,更,土豆
derelict,被遗弃的人,操练,气)流,把…捏成球状
incinerate,焚化,加热,燃放,生火
temporal,世俗,浪漫,自私,尊重
sensitization,敏化,拉伤,尼古丁,里面
roughen,变得粗糙,原因,到一边,角色
apron,围裙,裙子,内裤,短裤
obverse,正面(的),学,拥有,安祥
vintner,酒商,交易者,大将,个体户
elucidate,阐明,披露,重申,指出
droop,沮丧,得意,发怒,筹措
granite,花岗石,岩石,伟晶岩,化石
promulgate,颁布,集合,责成,遥控
recoil,退却,推进,赶上,昂首阔步
toxin,毒素,卖点,重点,谓语
foreknowledge,预知,给,往楼上,（突然感到病痛时发出的声音）哎哟
defuse,去掉...的雷管,公地,躲藏,每年
pilgrim,朝圣客,尼姑,穆斯林,达赖喇嘛
conviction,坚信,半信半疑,迷信,相信
bibliography,参考书目,注意到,学习,值得花时间(或精力)的
lout,粗人,高贵,方案,喜欢
straightforwardness,坦率,不仁,纯正,缓和
chant,圣歌,解决,体育家,关
compress,压缩,淘汰,补发,补遗
fracture,折断,损坏,断头,打破
ponder,仔细考虑,部落的,不定,政纲
figment,虚构的东西,完全,复合,爵士乐(一种美国音乐)
diffuse,散布,遍及,排列,张灯结彩
tyro,新手,外行,支柱,王牌
deserter,背弃者,舌头,瘪三,难民
adjudicate,充当裁判,需(价若干),针状物,事变
aqueduct,高架渠,驳岸,葛洲坝,矿井
whisper,耳语,通信,咕噜,仗义执言
behold,目睹,把风,偷看,瞥
cache,贮藏处,方向,第二十,加油
incertitude,疑惑,清醒,迷住,松弛
parlous,靠不住的,治安,安全,缓和
intervene,介入,公认,干预,推翻
denominate,命名,解散,免职,创建
ripen,使成熟,同事,分级,醒
adlib,即兴演讲,男性,咳,后面
broil,烧烤,豆腐皮,猪肉,素菜
grisly,恐怖,余悸,惊愕,清醒
languid,怠倦,拉伤,成就,希望
ubiquitous,无所不在,品质,与众不同,法语
aver,极力声明,管辖,留下印象,蛙类动物
mockery,嘲笑,讥诮,拍案叫绝,丑化
fertilizer,肥料,假象牙,化肥,塑胶
husbandry,耕种,开发,耕,冬灌
jog,慢而平静地前进,便条,周期,狂热
ingrate,忘恩负义的人,处罚,体育,打电话
haughty,傲慢,恭顺,客气,不亢不卑
resuscitate,使复活,布告,奖赏,品质
arthritis,关节炎,暗疾,病灶,肝炎
sluggish,行动迟钝,急剧,整天,兵贵神速
ing,天真无邪的少女,甘蓝,大概,应用
sap,树液,力量,财力,劳动力
ironic,挖苦,非议,拍案叫绝,笔战
well-groomed,非常整洁,支持,钞票,手势
limousine,大型轿车,在附近,打字机,大约
waffle,蛋奶烘饼,倾听,道歉,第二
supplicant,乞求者,制备品,逗留,除非
pulsating,节奏强的,最少(小,攻击,建议
trapeze,空中秋千,憎恨,公园,取…的指纹
guilt,罪行,黥,戒律,叛国罪
stealth,秘密的行动,矮,引导,标记
endow,资助,安抚,慰问,帮忙
full-fledged,成熟,零落,暗笑,吐穗
welter,混乱,神经过敏,方便,蓬松
insufficient,不足,缺少,亏损,动态平衡
refractory,难驾驭的,铸件,报务员,精确
far-fetched,牵强,对付,静止,一定
ballast,(船等)压舱物,为…证婚,吵闹,不久
phobia,恐惧症,细看,叶子,(广播或电视节目中的)一般知识测验
explicable,可解释的,敌手,电子学,归于
iconoclast,攻击传统观念或风俗的人,范围,领导,举动
disapprobation,反对,容忍,半信半疑,多疑
erstwhile,从前,早先,事先,上个月
faddish,流行一时,妖风,地位,古风
stocky,矮胖,大型,高耸,短小
hangar,飞机库,储藏室,壁垒,暗堡
transitory,短暂,通宵,成年,永恒
epicure,美食家,建筑师,创造者,鲁迅
press,挤压,掐,举起,把酒
vilify,辱骂,拌嘴,叫嚣,骂
distill,蒸馏,镀银,镀金,镀锌
touching,引起同情,窥伺,六十个(人或物),接…之后
acumen,敏锐,僵硬,糊涂,灵活性
thrall,奴隶,选民,支持者,半劳动力
cede,割让(土地权利),断送,舍命,弃权
disintegrate,分裂成小片,三位一体,未婚,会合
lethargic,昏睡,休息,筹集,起来
unchangeable,不能改变,压,哭,(指时间)在…以前
abduct,绑架,断路,赦免,夺走
perseverance,不屈不挠,安分守己,为所欲为,坚决
corroborative,确证的,工厂,携带,花费
bumper,汽车前后的保险杠,事情(件),部落的,苦的
slight,轻蔑,小心,不在乎,歧视
amplitude,广大,对称性,调匀,不足
canard,谣言,捷报,野餐,传闻
immune,免疫,招致,污染,带动
reincarnation,化身,压缩,无人居住,允许
brat,孩子,宝贝,双胞胎,独子
gavel,(法官所用的)槌,印刷机,愉快,捆
boisterous,喧闹,拥挤,狂乱,冷淡
exacting,要求严格,慢吞吞地,钓鱼,大学毕业生
galvanize,通电,并联,互通,缠绕
gerontology,老人病学,同事,恰当,坦率
cowardice,胆小,聪明,剽悍,精明
plenary,全权,发言权,所有权,表决权
muffled,(声音)压低的,确定,使(某人)有思想准备,杂志
captivate,迷惑,欺瞒,兵不厌诈,骗取
alabaster,雪白,棕色,苍白,花白
cognizant,知道,精通,难忘,挂念
sidestep,回避,以免,应得,幸免
orchid,兰花,桂,牡丹,梅花
dregs,糟粕,赘疣,鹅毛,宝藏
deduct,减去,补票,补遗,裁军
acoustic,听觉,好感,酸痛,遥感
anguish,极大痛苦,口头,站台,相反
dissension,争执,笔战,丑化,反唇相讥
garland,(作为胜利标志的)花环,表记,摆设,遗物
reticulation,网目,球状,大型,新型
congregate,聚集,团圆,久违,集中
jovial,愉快,狂喜,欢腾,叩头
euphoria,幸福愉快感,模特儿,捆,只...)
orotund,(声音)宏亮的,将来,小钱袋,主要
infirm,虚弱,光辉,雄伟,稳健
freeway,高速公路,过道,南京路,人行道
repellent,令人厌恶,怀疑,喂(养),达
feasible,可行,大庭广众,白搭,隐约
parody,模仿性嘲弄文章或表演,金的,折磨,(儿语)妈妈
uncommitted,不受约束,勇猛的人,调配,不过
despot,暴君,女皇,股东,王后
histocompatibility,组织适合性,注视,孵,公爵
retail,零售,批发,经销,兜售
moderate,不过分的,美丽,不时,痊愈
incorrigibility,无可救药,实验室,开始,拍
egotist,自私自利者,电报,(常兼汽车修理、销售业务的)加油站,注视
corporeal,物质,客人,东西,花瓶
asperity,粗鲁,彬彬有礼,耐心,索然
ritual,仪式,洗礼,基督教,婚礼
disaffect,使不满,(需)花费,消除,尤其
sash,肩带,决定,作文,很
implement,工具,磁盘,软盘,茶具
dissonant,不和谐的,孪生子,(一)本,娶
poltroon,懦夫,牛仔,君子,豪侠
neolithic,新石器时代的,十七个(人或物),污染,沙
turbulent,骚乱,败落,方兴未艾,和平
don,穿衣,扣,栓,卸下
disburse,支付,缴纳,补税,付款
ingenuous,纯朴,痛快,残忍,不仁
upswing,上升,攀升,增高,减刑
upstage,骄傲,不吝,不亢不卑,恭顺
grotesque,(外形或方式)怪诞的,不知所云,怪僻,可疑
incredulous,不肯轻信,帝国,健壮,使有条理
plough,犁地,服役,缺席,出席
objectionable,令人厌恶,日常食物,手艺,行李
observable,看得见的,含糊,官方,非官方
dilemma,困境,疫情,梦境,地狱
granulate,使成颗粒,平凡,激增,轮廓
digressive,离题,坠毁,不急之务,变化
masticate,把...磨成浆,在传播,要求,绞死
erode,侵蚀,预防,不利,无害
obsession,入迷,好看,迷惑,迷住
leeway,(可供活动的)余地,向…传来,常见,海员
genre,(文艺的)类型,传真机,望远镜,发生
impassive,无动于衷,掉以轻心,鄙弃,顾及
Antarctic,南极,东经,北半球,西半球
almond,杏树,乔木,斑竹,灌木
spectacular,壮观,美貌,病容,形容
disturbing,引起烦恼,楼层,拇指,顺着
sloppy,邋遢,俨然,白热化,严肃
freelancer,自由作家等,门口,顶端,保护伞
skit,幽默讽刺短剧,关闭,着手,突然
carve,(把肉等)切成片,可塑,可能性,五十
bilingual,(说)两种语言的,目录,刷,正当
snicker,窃笑,微笑,成熟,发芽
requite,报复,腐蚀,搭伴,报应
squelch,压制,跨越,不可逾越,约束
questionnaire,问卷,附件,白皮书,抄件
lax,松弛,逼上梁山,小心,迷惑
coax,哄诱,上帝,一边,早已
rebarbative,令人讨厌,熟悉,多的,牲畜
redoubtable,可敬畏的,产业(上)的,译,获胜
ready,机敏,糊涂,愚笨,眼尖
interdependent,互相依赖,动植物体内的管道,会(社)长,革命者
ration,配给,备战,武装,动员
penury,贫穷,艰难,富有,毒打
acronym,首字母简略词,吒,域名,拉丁
unify,统一,久违,未婚,分裂
vascular,血管,命脉,穴位,静脉
mallet,木槌,剪刀,板斧,刀口
acclimate,使服水土,第十二,苗条,百分率
unadvised,草率,识相,小心,节约
aberrant,异常,多多,最多,秉承
recessive,隐性遗传,结束,农舍,相当
celebrity,名声,影响,威望,名望
cornice,檐口装饰线(在房柱顶端的突出装饰线),请人来,一(旦)…就…,空出
trustworthy,值得信赖,就绪,现成,不妥
diabetes,糖尿病,暗疾,流行病,爱滋病
spacious,广阔,动人,富于,平衡
acquaintance,熟人,教友,病友,盟友
cordially,热诚,听说,温和,叛逆
encephalitis,脑炎,梦游症,瘫痪,湿气
shrine,神龛,教堂,修道院,机器
sear,(以烈火)烧灼,悄悄,变成,不过
august,威严,缓和,危难,神经过敏
unwarranted,没有根据,普遍,三明治(夹心面包片),收到..的信
outfit,(为特殊目的)全套用品,踪迹,乐事,提高
speleology,洞窟学,元件,查阅,动词
maladroit,笨拙的,帮助,压榨,傍晚
nerveless,无勇气的,外面(表)的,公正,热望
exude,使慢慢流出,后面,读本,兑换
hoist,吊高,上涨,提高,减肥
steadfast,忠实,不甘,叛逆,驯服
definitive,明确,隐约,暧昧,不知所云
disinfect,为某物杀菌或消毒,有分歧,已,污秽物(如灰尘
unqualified,无限制的,到底,不妨,反而
repine,不满,不过意,不平则鸣,痛快
squabble,争吵,咒骂,叫嚣,顶撞
gulch,深谷,火山,悬崖,峨眉山
equable,(脾气)温和的,完全,激昂,容纳
dilapidated,破旧,锦绣,妖艳,灿烂
grouse,牢骚,谎话,不经之谈,闲话
sustain,承受(困难),把..看作为,铀(放射性元素),使高兴
onset,(坏情况)开始发作,(尤指用沙纸)磨光,识别,尘世
statutory,法定,非官方,潜在,隐约
accomplish,完成,定稿,例行,施行
mutilate,残害,超过,无害,便利
pester,纠缠,联网,并联,互通
bodyguard,保镖,侍候,保障,照料
lowbred,粗野,殷勤,漂浮,爱面子
intact,完整,光秃秃,半半拉拉,破烂
cubicle,大房间中隔出的小室,投射,一瞥,(使)变暖
sizzler,炎热天气,不乐意的,掺麻醉药/毒药于(食物、饮料等),损耗
loll,懒洋洋地坐或卧,许多,必须,老爱责骂的人
sect,(宗教等)派系,在…之间,咀嚼,恭喜
auction,拍卖,兜售,转让,零售
portentous,凶兆,预兆,下落,行踪
predominant,有势力的,增大,留间隔,领队
radiance,发光,衍射,爆炸,呜咽
methodology,方法论,民族主义,浪漫主义,马克思主义
aphasia,失语症,兽皮,话,平滑
defiant,违抗,违心,赞美,拍案叫绝
interrupt,暂时中止,付出代价,美好,具有..价值
dexterous,灵巧,不识时务,眼尖,能干
abnegate,克己,抛弃,断送,弃权
nugatory,无价值的,重叠,纯粹,复杂性
proximate,最接近的,迎风,独独,竟然
infidel,不信教者,供认,点(头),宣称
ovoid,卵行,感谢,基(础),冰
tumbler,平底无脚杯,说话,娱乐,发表意见
trivia,琐事,秘密,机密,奇事
antenna,触角,犄角,熊掌,膀子
defraud,欺骗某人,炊事用具(尤指炉、锅等),说服,旅行
frolic,雀跃,奔命,蹦蹦跳跳,奔腾
huckster,叫卖小贩,交易者,小贩,个体户
strew,撒,交叉,谣传,混杂
needy,贫穷,丰衣足食,肮脏,失调
calculating,深谋远虑,打算,罢论,同谋
fallow,休闲的土地,坚固,重的,钱包
fascia,饰带,奇特,大量,酋长
abhorrent,可恨,可怜,广博,迷人
anatomical,解剖学的,华丽,无论,谈论
warehouse,仓库,武库,碉堡,谷仓
gist,要点,意思,意味,大纲
desolate,荒凉,不景气,冷静,占线
sacrilege,亵渎,变节,冒险,补救
self-possession,沉着,安静,迫切,不愧
perfunctory,草率,郑重,负责,持久
reconciliation,和解,让步,趋奉,说服
humor,纵容,任凭,糊弄,庇护
unanimous,全体意见一致的,铸造(硬币),基本(础)的,目标
phylum,(动植物分类的)门,看法,教育,歌唱
similarity,类似点,突然发生(发作),忘记,时机
impressionable,易受影响,笑声,助手,使想起
narcotic,催眠药,抽打,对象,善意
reprehend,谴责,揭发,批评,驳倒
preach,传教,传送,金币,稍微
dawdle,闲荡,打赌,恋爱,兜风
freak,怪物,圣诞老人,恶鬼,魔鬼
anomaly,异常,共享,忍受,承受
levelheaded,头脑冷静,耐心,孟浪,实在
puissant,强有力的,薄弱,微不足道,细小
ruminate,深思,求爱,惦念,难忘
cater,提供饮食及服务,蜂窝状物,决赛,基本(础)的
vigorously,精力旺盛,著名,围栏,玩笑
apparatus,仪器,水平,木版,罗盘
separate,使分开,禾草,老爱责骂的人,活/铅字
linger,逗留,住院,风俗,迁都
whimsical,古怪,明白,单调,不伦不类
cone,松果,果皮,坚果,种子
debilitate,使衰弱,(疾病等)一次发作,排球,思想
slobber,口水,痰,激素,胆汁
compact,合同,用以,操作,用法
hermit,隐士,牛顿,狂人,老百姓
blossom,花,(复)军队,成为,多数
assail,抨击,否定,承认,公认
virile,有男子气,美好,暗无天日,巨大
buxom,体态丰满,妒忌的对象,它的,侍候
authority,权威,无价,卑微,敝
freight,装货于船等,微型计算机,职员,露面
down-to-earth,现实,初步,微妙,流利
invigoration,滋补,调治,打扮,安神
sepulchral,坟墓,祭坛,主席台,台
catalyze,催化,情绪化,简化,现代化
sterilize,使不育,抢救,确诊,治病救人
hasten,催促,酬谢,道谢,更换
pagan,没有宗教信仰的人,压,支持,提到
pharmaceutical,制药,闭门造车,复制,修复
epitaph,墓志铭,哀辞,笔记,论文
nick,小伤口,不定,选拔,氏族
prop,支持,在外,处于,正值
dome,圆顶屋,急(匆)忙,乐意,邮政
agitated,被鼓动的,发射强光,评定考试不及格,一桶之量
fictitious,虚构,伪托,闹事,挑衅
farrow,(母猪)生产,随时,充溢,应用
uptight,焦虑不安,洁净,大喜,松弛
precipitation,降水(量),结算,合适,庭院
reciprocate,答谢,报答,感谢,催促
archer,(运动或战争中的)弓箭手,投手,种子,裁判
preconception,先入之见,政见,异议,意见
fledge,小鸟长飞羽,你(们)的(所有物),抢劫,仿造
keen,热心,尊敬,冷酷,自豪
improvident,不顾将来,真心,自动控制装置,欺诈
windfall,风吹落的果实,偷偷告诉,过错,于…之间
inexcusable,不可原谅,男孩子,历史,坏脾气的
civilian,平民,分子,每人,东西
herbicide,除草剂,营养,白面儿,毒物
inerrancy,无差错,不像…,容纳,市
garble,曲解,本末倒置,渎职,纠正
caret,加字符号(∨,奉行,那么,改正
badge,徽章(如校徽等),紧贴,难以置信,其次
boost,增加,附加,收缩,浸透
summarily,仓促,占线,寂寞,萧条
