#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
warden,看守人,领导者,乔石,林肯
clatter,得得声,腌制,有成就的人,轨道
slam,砰地关上,变成,智慧,口哨
chief,元首,林肯,总裁,首相
corporate,共同,互相,就是,只好
applaud,鼓掌欢迎,一同,看见,塌落
candy,(美)糖果,指挥者,老(导)师,利用
variant,变体,空中旅行,退出,声明
merit,功劳,勋绩,业绩,政绩
obsess,使烦扰,哪个,消耗,曾经
sane,神志清楚,笨拙,大胆,糊涂
obtain,获得,躲开,以免,得出
perception,感觉,熟思,酝酿,存心
misgiving,疑虑,不服,妒忌,拥护
fabric,结构,班子,各种,某种
tame,驯服,妥协,说服,巴结
negligence,疏忽,迷惑,小心,习以为常
interval,幕间休息,一些,惦念,奖学金
abrasion,表面磨损,近代,准备,格外
deform,损坏…的形状,通知,发式,晚上
dwindle,日渐减少,兄弟,公平,景色
shelter,掩蔽处,读本,买得,搁
compare,比较,对于,把,沿着
tissue,轻而薄的纸,发光,毛状物,利索
concede,承认,否认,推翻,狡赖
intrinsic,固有,大材小用,原始,国产
prosecution,起诉,证词,坦白,逼供
bursar,会计员,讲师,博士,学童
remind,提醒,传授,指导,示范
retain,挡住,挺,覆盖,赤裸裸
enrich,装饰,制造,克隆,组装
deliver,救出,对着,恰好,跟踪
payroll,公司、工厂、政府机构等的,大量,憎恶,黄的
succession,继承(权),向内,多采多姿,踢腿
devastate,摧毁,休息,消灭,缓解
archaic,古老,娇媚,美丽,流行
ungainly,笨拙,八面玲珑,胆小,迟钝
poultry,家禽,知更鸟,鹧鸪,夜莺
rift,裂缝,断头,爆裂,断开
trace,踪迹,意思,行踪,下落
require,要求,回顾,谋求,渴望
err,做错,镇压,赦免,开刀
innovation,创新,变法,让位,闭关自守
masculine,强壮,通红,年老,瘫软
preparatory,准备,军备,筹措,格式化
delegate,代表,体现,预兆,所谓
scheme,计划,舒服,阴谋,满足
lexicographer,词典编纂人,普通,渔夫,第十一(个)
octagon,八角形,历史上著名的,今晚,歌唱家
publicity,众所周知,含糊,可疑,官方
democracy,民主政治,有些,遗失,游戏
match,火柴,摁扣儿,瑞香,扣子
refugee,(政治上的)避难者,逃亡者,流浪者,受害者
concerted,协定,承诺,会谈,谈判
flirt,挑逗,刁难,调戏,播弄
syllabus,教学纲要,表演者,净重,口
implicit,含蓄,洋溢,包罗,表现
fridge,冰箱,酒店,流汗,纠正
scarf,围巾,冰鞋,粮食,袜子
mentality,精神力,哲,天才,斗志
grave,墓穴,白金汉宫,坛,神道
infest,骚扰,占领,突破,击败
remainder,剩下的人,修补,赤脚(的),触摸
cure,治愈,好转,扭,出院
echo,共鸣,酸痛,滋味,知觉
transitive,及物,领导人,所有物,按钮
apt,恰当,便利,白搭,及时
hedge,避免回答,简短,体会,底线
pressure,气压,持有,把酒,握住
transistor,晶体管(收音机),农耕,航行于(海上),路线
solvent,有偿债能力的,洞穴,俯冲,各
pull,拉,弹琴,跳舞,独奏
naive,无知,无能,鄙陋,博雅
attach,贴上,减少,发出(气味等),公使
collaboration,协作,大显身手,尝试,抱佛脚
shoal,浅滩、浅水处,领会,给予(某人)荣誉,正文
distinguish,区别,识货,比较,辨别
tibia,胫节,贝壳,盖子,髌骨
inveterate,积习已深,生活,惊奇,(对...)动手术
myopia,近视,大器晚成,不稂不莠,不学无术
concrete,具体物,得意,屹立,道德
resignation,辞职,承担,兵役,自负
bold,勇敢无畏,畅销商品,监视,也不
census,统计数字,参加,懊悔,土地
withhold,保留,存储,找到,储藏
familiar,熟悉,忘记,识破,知悉
lick,舔,吮吸,呼吸,叮
infirmary,医院,军校,职业中学,人大
bleak,凄凉,不可磨灭,热力,通宵
equity,(无固定利息的)股票,简直不,不多,阅读
incredible,难以置信,半信半疑,赞成,自信
botany,植物学,科研,高科技,科技
janitor,管理员,所长,首长,邓小平
appraisal,评价,鉴定,点名,评估
section,段,牌照,护照,匾额
stretch,一段时间,生物,友好,对照物在对照实验中被用作对照标准的物体
attain,达到,得分,多达,吸取
linear,长度,深度,宽度,厚度
topography,地形学,三角形,形状,多角形
ambitious,热望,猜谜儿,寻求,追求
suburb,城郊,半空中,周围,沿海
roast,烘烤,品味,煨,氽
obscure,暗淡,黑暗,朦胧,耀眼
unemployment,失业(人数),冲击,证书,西班牙(欧洲)
mien,风采,性能,傲骨,杀气
budget,经费,文明,小费,零钱
stain,污点,羞辱,政绩,纪念奖
fundamental,基本原则,苗条,钩,祈祷
synthetic,合成,人均,划分,平均
negation,取消,解散,定名,免职
exhale,呼出(气),里面,富庶,电线
gorgeous,好极了,支持,强壮,北(方)
swallow,吞咽,喝,咀嚼,吸吮
keep,遵守,保育,触犯,顺从
deplore,哀叹,激发,感慨,不赞一词
delectable,赏心悦目,对眼,罢论,遗憾
feedback,反馈,申请,备案,补报
glide,(使)滑行,根据,脆的,视..而定
minister,部长,里根,布什,参赞
cork,软木,木制,铁锈,乌木
ruinous,招致破产,明信片,中止,借
tar,柏油,石膏,水泥,石灰
nasty,险恶,大敌当前,辛劳,忙碌
oatmeal,燕麦片,使受伤,建造,小点
mean,表…的意思,野兽,改善,(坐姿时)腿部
exemplify,举例证明(解释),相对论,妒忌的对象,要求
mythical,神话,本子,编年史,特写
denomination,（长度,裁撤,独树一帜,豁免
explosive,爆炸(性)的,思考,试验,不利条件
spike,穗,促进,监控,［常
subsidize,给与奖助金,作弊,运动,贪污
eccentric,古怪,怪僻,不可思议,正常化
chronological,按年月顺序的,明天,劳动大军,现行
lesser,较小,无价,昂贵,第一
confusion,混淆,渎职,纠偏,失误
periodical,期刊,表报,人民日报,周刊
haven,安息所,纯理论的,锤打,楼
brash,性急,耐烦,孟浪,不逊
coupon,息票,动身,挤满,达到预期目的
devise,设计,计划,筹措,计算
intelligible,可了解的,透明,边远,附近
realistic,现实(主义)的,利益,山洞,去
package,打包,投射,卷曲,包扎
myriad,许多,不可胜数,芸芸,圆周
heart,内心,存心,好奇心,哀思
trauma,创伤,病害,割伤,冻伤
pier,桥墩,便桥,农田,吊桥
hemisphere,半球,地方,材积,面积
depression,洼地,北纬,亚洲,赤道
deaf,不愿听的,有投票权者,解释,在那儿
huddle,一堆人（杂物）,允诺,实力增强,迷惑
geology,(某地)地质,试验,对话,贮藏
enroll,登记,报失,额定,报到
humdrum,单调,可怜,例行,滑稽
ecology,生态学,科目,高科技,医学
weld,熔接,保修,培修,锻压
flour,面粉,粱,米粉,白米
unconcerned,不关心的,九十个,舒适,与
auxiliary,辅助,慰问,资助,慰藉
ploy,花招,手段,暗箭,王牌
cycle,(使)轮转,故障,梳妆,不久前
vocabulary,词汇表,专心,纯净,缝补
breakthrough,重大发现(成果),习语,碰巧,想
chop,劈,通常,取缔,幸福感
harmony,(声)谐调,动植物体内的管道,(艺术等的)风格,精髓
missile,导弹,坦克车,火箭,主机
impact,影响,动摇,不相干,震动
artillery,(军)火炮,子弹,左轮手枪,弹药
paddock,围场,颜色,美好,不加冠词)
larynx,喉,重的,观念,相关
conform,遵守,违背,保育,顺从
chronic,极坏,移动,卑劣,淘气
formula,配方,扎针,补液,对症下药
hectare,公顷,公斤,公分,公里
reshuffle,再洗牌,转向,变调,改口
dimension,体积,周长,温度,力度
accuse,谴责,批评,非议,驳斥
reduce,缩小,浸透,延长,收缩
illogical,不合逻辑,(使)减速,献出,用竹子制
distract,转移,交换,变速,替换
dissipate,驱散,变价,转向,变速
chorus,合唱,高唱,帮腔,歌唱
emigrate,移居国外,秘书,汉人,职工
prestigious,有威信的,表演,气氛,楼下
underneath,在…下面,向下,保有,打算
feel,触,宿营,使潮湿,游行者
sabotage,阴谋破坏,浅薄,新(近)的,底部
width,宽广,不足,狭窄,和谐
abuse,滥用,照搬,罄,比量
bully,恃强欺弱者,提防,快乐,冷清
racket,球拍,吊环,高尔夫球,板羽球
thermometer,温度计,水平,罗盘,木版
caption,(图片的)说明,别称,牌子,八卦
dumb,沉默,感叹,饱满,目瞪口呆
lewd,好色,和平,妖艳,贞洁
tug,拖,哨兵,令人伤心遗憾的,炉火
badminton,羽毛球,篮板球,球拍,擦边球
agreeable,令人愉快,四十,(工厂)厂长,仓促
trail,跟踪,储藏,躲闪,避暑
dialect,方言,外语,普通话,语言
manifestation,证明,意味着,所谓,预兆
complement,补充,加长,加油,补发
counterfeit,伪造,摆门面,编造,摆阔
adept,老练,笨鸟先飞,消极,无能
prominent,显著,不可思议,秘密,隐约
one,一个人,操纵,空白,闹市区
dearth,粮食不足,动态平衡,不足,平衡
tablet,碑,标语牌,里程碑,浮标
infant,婴儿,未成年人,男孩子,宝宝
hallmark,纯度检验证明,矿质,计数,坚果
venerate,崇敬,引咎,崇拜,可敬
molecule,分子,使用者,队伍,队员
particle,粒子,一点,把子,珠子
tramp,步行,却步,散步,游荡
whiting,白粉,毒药,鸦片,大麻
erase,擦掉,调查,新(近)的,紧紧
furor,感动,关联,带动,不相干
harassment,烦扰（的行为）,与…相似,本的,民族
plight,困难处境,地方,从事园艺,夜总会
generality,概说,摘要,本事,意思
aerial,空气,必要条件,梦境,现象
irrelevant,离题,野草,流行,公安部门
incinerator,焚烧炉,炉灶,斗,手杖
convict,使…知罪,辩护,哪(个)人的,乡村地区
diligent,勤奋,孩子气,成熟,怠惰
heir,继承人,祖先,大娘,前任
manuscript,手稿,读物,图书,长篇
board,板,恳求,振奋,继母
optics,光学,高科技,课程,科技
radar,雷达,录音机,传真机,二极管
deteriorate,变化,变幻,恶性循环,变脸
genocide,(对某人种、民族等有计划之)集体,秘密,力量,声音
imitation,摹拟,补习,镀金,旁听
statistician,统计员,干事,监督者,工人
residence,居住期间,放出,相遇,制备品
origin,出身,国籍,辈分,众议员
methodical,有方法的,散发气味,住房供给,改善
recital,独奏,这样的事,审讯,关税
dessert,甜食,冰糖,饽饽,果酱
fantasy,想象的产物,事情,社,创立
grid,输电网(络),埋葬,结果,泄露
tendency,趋势,定局,劣势,政局
allot,分配,按需分配,兑换,借款
fidelity,忠实,热诚,和善,恭顺
capture,捕获,抄身,逮捕,监禁
assert,宣称,记载,表示,记述
calculate,推测,估计,臆测,猜谜儿
argue,辩论,丑化,诽谤,辩白
sector,扇形面,注意到,教室,流行
cucumber,黄瓜,南瓜,大豆,西红柿
fee,酬金,退休金,工钱,版税
potluck,家常便饭,膳食,午饭,包饭
tricky,狡猾,规矩,忠于,温和
soak,浸湿,浓缩,收缩,干
bead,有孔的小珠,言论,在的对面,急运(派)
summary,即时,临时,一半,光是
aptitude,才能,智力,斗志,才智
barrel,枪管,语法树,海鸥,措辞
meteoric,流星,插图,气功,太极拳
nowhere,任何地方都不,职务,轻拍,也不
coalition,结合,联网,互通,缠绕
decrepit,衰老,新兴,破败,看作
manual,手工,劳动,动作,行动
oath,诅咒,顶撞,竞争,骂
mildew,霉（因温湿而生）,美好,推举,画像
surrender,投降,斗殴,说服,动武
migraine,偏头痛,场所,责骂,油煎
venerable,令人尊敬,(旅行用)手提包,得到,论文
punctual,正点,持续,率先,总是
flee,逃离,避暑,逃之夭夭,溜走
hurl,猛投,教师(员),(用作饲料的)干草,五十
drainage,下水道,渗沟,篱笆,广场
underwrite,签名于下,使变凉,不充分的,结束
bill,给…开账单,奇异,半圆形体,地位(现在很少用)
release,发行,转让,零售,处理
advertise,做广告,议价,标价,上市
congestion,充血,浸透,包含,层出不穷
inaugurate,开始,着手,启程,动工
crawl,爬行,电钮,窗户,时间
superb,华丽,不兴,锦绣,英俊
anecdote,短故事,家务,细节,机关
overlap,重迭,椅子,实验室,北美野牛
blur,使…模糊,置,强烈,白昼
confession,供认,申诉,栽赃,证词
take,接受,扭转,不胜,秉承
esteem,尊敬,向往,抱屈,信服
regulate,调整,调制,调节,调味
yacht,游艇,拖船,地铁,舶
outlying,远离中心,湍滩,讲,干净
cyanide,『化学』氰化物,鸭,航行图,小姐
pliable,易弯,坚固,韧性,酥
unilateral,单边,抽象,不利,严密
dramatic,引人注目,秘密,隐约,不法
combustible,易燃,私利,缺点,优点
back,支持?,鞠躬,文件,最后阶段(或部分)
primitive,简单,周边,重叠,鞭辟入里
crude,原油,焦油,汽油,煤油
academic,学术性的,分,堵塞,巩固
strive,努力,尽可能,没有,无人
explanatory,解释,注解,留言,附笔
fragrant,香的,斑驳,淡,多姿多彩
hatchback,汽车,直通车,拖车,电车
aphorism,格言,规范,宾语,补语
saddle,(马、自行车等的)鞍,调查,作者,帐篷
ingot,锭,包裹,血块,它们
awful,极坏,栽种,感情,通行证
null,无效,白白,手提,徒劳
effective,有效,无效,眼看,神秘
bulletin,公告,海报,告示,呈文
salvage,（从灾难中）抢救,独身,完全,金币
intonation,语调,灰尘,变奏,调频
inquiry,调查,追查,不准,侦探
neutral,中性,相似性,毒性,综合性
grate,炉格,剧本,可视电话,把…装入口袋
retreat,撤退,投降,俘虏,摧毁
superintend,监督,备查,蹲点,点名
obvious,显然,不露声色,含糊,隐约
editorial,社论,八股,本草纲目,红楼梦
become,变成,年轻化,表面化,合法化
aesthetics,美学,课程,高科技,科学
suitable,合适,麻烦,便利,可身
confront,使面临,指示,纤细,胆小怕事的人
pamphlet,小册子,年鉴,参考书,汇编
microbe,微生物,物品,动植物,必需品
parallel,与…平行,再次,阻止,冲
endurance,持久(力),急剧,未赶上,最远
toast,祝酒(辞),采,最高,仪态
professional,职业选手,效果,难以办成,在任何地方都不
tighten,(使)绷紧,淡的,范围,粗野
monsoon,季风,旋风,暴风骤雨,层云
amid,在…中,沉默,抹,贮藏
antecedent,前情,认出,(艺术等的)风格,自行(摩托)车
prologue,开场白,脏话,闲话,暗语
eclipse,(日,数到,幕布,急(匆)忙
furious,狂怒,掐得,拯救,（突然感到病痛时发出的声音）哎哟
sicken,使厌倦,性交,犯病,受伤
inhibit,禁止,准许,签证,查证
splash,溅起的水(浪花等),现实,体谅,袖子
persuasive,能劝说的,快乐,无人居住,看守
hint,暗示,志,表达,描绘
composite,合成物,一片,天空,只...)
refrain,制止,制裁,范围,封锁
wasp,黄蜂,标本虫,蠕虫,变形虫
fume,愤怒,赌气,忧郁,暴跳如雷
certainty,肯定,包管,随着,不再
indemnity,补偿,加油,补票,加长
calibrate,量…口径,使人厌烦,年少,管理人
alien,外国,属国,帝国,中国
fatigue,疲劳,昂扬,喘息,懒洋洋
crust,硬皮,重要性,报告,寝室
oust,赶走,接待,待遇,收养
protract,延长,推广,浸透,蔓延
side-effect,副作用,证验,发酵,速效
desperate,绝望,大都,纯粹,一定
clumsy,笨拙,不避艰险,灵巧,按图索骥
indigenous,土产,外来,格外,业余
incipient,初期,后期,长期以来,短期
reiterate,重申,巡回,转移,并举
jealous,妒忌,不服,自信,信奉
opposite,对立面,第三方,各界,官方
splendid,好极了的,攻击,调配,令人兴奋的事
omen,征兆、预兆,标记,(眼睛的)瞳孔,工作
ambition,抱负,毒手,把戏,王牌
phenomenon,现象,奇观,幻影,远景
arena,竞争场所,坛,台,尖塔
gravel,砂砾层,甚至(更),主要,损害
derive,起源,百川归海,预兆,在于
refreshing,使人耳目一新的,海岸,六,逐渐消失
parasite,寄生动物,便士,复习,红色
twist,缠绕,构成,并联,接口
passive,消极,持久,不务正业,主动
denial,否定,参与,打听,公认
shanty,简陋的小木屋,公告,着迷,精髓
assure,保证,不见得,人寿保险,大致
site,使处于某处,网球,使惊奇,使不能行动
catching,有魅力的,可恨,狭窄,动人
forge,伪造,伪托,摆阔,寻衅
managerial,经理,私营,接管,经管
brand,打烙印于…,知悉,挂念,忘记
diversify,使多样化,正是,威胁,赞赏
crash,碰撞,触发,着,刺激
elaborate,精细,自动,鄙陋,粗糙
flyover,航空空中分列飞行,由火箭推进的导弹,(用言词)表达,水下面的（地）
implant,注入,日出,输入,出来
copyright,版权,产权,权利,使命
portion,部分,层层,整整,稠密
tend,易于,对应,存在,共处
upset,使不安,试验,转移呼叫,工厂
instrument,器械,笪,核军备,驳壳枪
culprit,罪犯,(健康状况)有所好转的,一百个,把(钉、桩等)打入
corporation,市政府,正确,相等,许许多多
mature,成熟,吐穗,微笑,暗笑
chaste,贞洁,高雅,喜新厌旧,黄色
mandate,授权,拜托,托付,捐赠
raw,未加工的,卫星(于本文中作形容词用),布,负载
discussion,讨论,辩证,狡辩,雄辩
bugbear,(传说会吃掉坏孩子的)鬼怪,指导,店员,质(量)
sake,缘故,目标,受事,结果
deluge,大洪水,雨滴,瀑布,毛毛雨
adrenalin,肾上腺素,滋养,中心,成分
single,单一,紧密,麻烦,重叠
patch,补钉,启示,头痛,会
variety,品种,民间,数字网,电话网
slap,打…一巴掌,空想,吸引,恰好
abnormal,不正常的,逗留,要求,离开
junk,把…当作废物扔掉,事件,猴子,跑步者
spit,吐唾沫(痰),尼古丁,顶部,两个..(都)
tunnel,挖地道(或隧洞),秘书,大约,进行
fluorescent,萤光,折射,衍射,闪亮
obnoxious,令人不愉快的,可笑,短小,不得人心
penetrate,渗入,出没,进入,注入
palatable,美味,十分,名副其实,甜美
