#word,meaning,option1,option2,option3
低估,underestimate,unexpectedly,to persist,predict
感觉,perception,reception,exception,perceptive
担心,misgiving,spare,bear with,to set one's mind at rest
结构,fabric,cambric,rubric,all kinds of
驯服,tame,fame,mate,jade
疏忽,negligence,fascinate,to be infatuated with,careful
间隔(时间),interval,internal,integral,infernal
表面磨损,abrasion,abrasive,invocation,visa
损坏…的形状,deform,inform,reform,before
日渐减少,dwindle,dandle,swindle,kindle
庇护,shelter,swelter,shelve,shutter
比作,compare,compass,company,compile
轻而薄的纸,tissue,tussle,issue,fissure
给予,concede,concept,conceal,confide
固有,intrinsic,extrinsic,appropriate,unofficial
起诉,prosecution,keep  in custody,extort a confession,lawsuit
会计员,bursar,bursary,burglar,hussar
提醒,remind,rend,rind,remand
聘,retain,regain,obtain,remain
装饰,enrich,entice,rich,to manufacture
救出,deliver,delivery,diver,derive
公司、工厂、政府机构等的,payroll,attest,sixteen,messenger
继承(权),succession,successive,successor,accession
摧毁,devastate,to sweep away,heal,rest
古老,archaic,archaism,armchair,arctic
笨拙,ungainly,to understand,skilled,muddled
家禽,poultry,paltry,country,poetry
裂缝,rift,destruction,to smash,to leave in sb's care
跟踪,trace,trice,track,rape
要求,require,respire,acquire,requite
做错,err,broken circuit,pardon,to operate on or to be operated on
创新,innovation,intonation,invocation,to abdicate
强壮,masculine,youthful,have difficulty walking,female
准备,preparatory,raise ,reconcile,portable
代表,delegate,delicate,relegate,elevate
计划,scheme,schema,sphere,theme
词典编纂人,lexicographer,cease,trademark,nail
八角形,octagon,humane,portico,consumer
众所周知,publicity,duplicity,publicize,beyond description
民主政治,democracy,democrat,cunning,nice
火柴,match,pitch,fetch,patchy
(政治上的)避难者,refugee,referee,refuge,refuse
协定,concerted,undertaking,accept,negotiation
挑逗,flirt,glint,lilt,fire
教学纲要,syllabus,syllable,chapter,albino
含蓄,implicit,implicate,illicit,explicit
冰箱,fridge,ridge,fudge,fringe
围巾,scarf,start,scare,scan
精神力,mentality,mortality,will to fight,imaginative power
墓穴,grave,suave,grease,ravel
骚扰,infest,invest,infect,incest
剩下的人,remainder,reminder,discipline,nestle
治愈,cure,cur,sure,urge
共鸣,echo,each,who,chop
及物,transitive,transition,giveaway,speaking
恰当,apt,at,cape,and
用树篱围住,hedge,hence,edge,heave
压力,pressure,presume,pleasure,reassure
晶体管(收音机),transistor,transitory,forgetful,faint
有偿债能力的,solvent,solve,salient,convent
拖,pull,poll,bull,dull
无知,naive,waive,nape,valve
附上,attach,attack,teach,attache
协作,collaboration,be faced with,to try,to accomplish
浅滩、浅水处,shoal,aerobatics,ennoble,obstacle
表现突出,distinguish,detective,indoor,reversible
胫节,tibia,ixia,ibid,titbit
积习已深,inveterate,illicit,fuzzy,thankful
近视,myopia,myopic,switch to a job one was not trained for,having experienced the hard ship of life
具体,concrete,concede,contrite,a hundred times
辞职,resignation,responsible,military service,retirement 
粗体,bold,bald,fold,role
统计数字,census,versus,consul,genus
保留,withhold,storage,store,access
熟悉,familiar,proficient,see clearly,to penetrate
舔,lick,irk,lack,rock
医院,infirmary,infirmity,military school,vocational high school
凄凉,bleak,cloak,bleed,berk
公正,equity,equine,quite,equate
难以置信,incredible,credible,to agree,confidence
植物学,botany,bony,rotary,notary
管理员,janitor,junior,monitor,the parent or guardian of a child
评价,appraisal,appraise,to evaluate,roll call
科室,section,suction,seduction,auction
伸展,stretch,trench,scratch,stitch
取得,attain,attic,abstain,strain
长度,linear,near,lineal,liner
地形学,topography,typography,polygon,form
热望,ambitious,ambiguous,ambition,require
城郊,suburb,sunburn,superb,suture
一大块烤肉,roast,roost,coast,roar
暗淡,obscure,obscene,in the shade,open 
失业(人数),unemployment,innocent,migratory,settler
风采,mien,fin,mean,kin
经费,budget,budge,bucket,gadget
污点,stain,stank,stare,state
基本原则,fundamental,minimal,revolve,sundial
人工制品,synthetic,synthesis,freshwater,there
取消,negation,legation,notation,nation
呼出(气),exhale,whale,exalt,exhume
好极了,gorgeous,gipsy,hearse,haulage
忍受,swallow,shallow,wallow,willow
保留,keep,weed,reel,heed
哀叹,deplore,implore,deport,declare
赏心悦目,delectable,to count,to plot,to satisfy
反馈,feedback,check in,apply,report the loss to the authorities concerned
滑翔,glide,slime,ride,give
牧师,minister,sinister,ministry,mister
软木,cork,mark,work,dirk
招致破产,ruinous,duff,detective,nanny
柏油,tar,fur,tame,lair
肮脏,nasty,lusty,pasty,salty
燕麦片,oatmeal,ulcer,varsity,prelude
意为,mean,can,medal,smear
举例证明(解释),exemplify,exemplary,kink,appease
神话,mythical,edition,fiction,prose
（长度,denomination,fly one's onw colors - develop a school of one's own,free ,to run a school
炸药,explosive,explosion,expensive,expansive
用大钉钉,spike,pike,smile,sprite
给与奖助金,subsidize,subside,accept bribes,corruption
古怪,eccentric,geocentric,humorous,inwardly
按年月顺序的,chronological,noxious,mercy,flex
较小,lesser,unimportant,cheaply-priced,superficial
困惑,confusion,collusion,concussion,confession
期刊,periodical,periodic,special column,masthead
安息所,haven,haze,aver,heaven
性急,brash,brave,trash,brass
息票,coupon,upon,coup,cocoon
设计,devise,demise,revise,divide
可了解的,intelligible,next to,silly,far from the center
现实(主义)的,realistic,adjunctive,recumbent,faction
包裹,package,passage,to load,to cover
许多,myriad,byroad,arch,polysaccharose
要点,heart,weary,harm,hearty
创伤,trauma,trump,tramp,drama
桥墩,pier,pill,pick,vie
半球,hemisphere,area,volume,system
低压(地区),depression,repression,impression,oppression
聋的,deaf,pear,leaf,yeah
一堆人（杂物）,huddle,cuddle,saddle,peddle
(某地)地质,geology,apology,zoology,ecology
登记,enroll,enfold,unroll,droll
单调,humdrum,unusual,laughable,pitiful
生态学,ecology,eulogy,economy,colony
熔接,weld,well,wild,geld
面粉,flour,four,sour,flout
不关心的,unconcerned,continent,sprawl,pleasant
辅助,auxiliary,consolation,express sympathy, greetings, consolation, etc.,provide financial aid
花招,ploy,mean ,high aims,a stab in the back
自行车,cycle,circle,cache,recycle
词汇(量),vocabulary,preordain,bat,ashy
重大发现(成果),breakthrough,endear,shatter,silkworm
排骨,chop,cop,cos,clod
协调,harmony,hormone,extensive,troublesome
导弹,missile,missive,misfire,misrule
碰撞,impact,impart,impair,impeach
炮兵(部队),artillery,raillery,poorly,hectare
围场,paddock,haddock,padlock,enjoyment
喉,larynx,lynx,hail,liability
遵守,conform,inform,confirm,contort
极坏,chronic,chaotic,chronicle,ironic
配方,formula,formal,formulate,indeced abortion
公顷,hectare,nectar,declare,lecture
再洗牌,reshuffle,popularize,tonal modification,reshuffle 
面积,dimension,diversion,dissension,size
谴责,accuse,excuse,arouse,accrue
缩小,reduce,seduce,deduce,refuge
不合逻辑,illogical,biological,logical,band
转移,distract,district,distinct,distrust
驱散,dissipate,speed change,change of direction,appraise at the current rate
合唱,chorus,crocus,shorts,cherub
移居国外,emigrate,migrate,immigrate,emigrant
有威信的,prestigious,banquet,defray,sunny
在…下面,underneath,beware,disabuse,prove
觉得,feel,eel,fee,zeal
阴谋破坏,sabotage,confirm,unwitting,thousand
宽广,width,widow,pith,sixth
虐待,abuse,base,acute,azure
威胁,bully,null,dally,bulky
球拍,racket,lackey,packet,basket
温度计,thermometer,compass,instrument,plank
(图片的)说明,caption,caution,carton,nation
笨的,dumb,lamb,dim,crumb
好色,lewd,lend,seed,herd
拖,tug,out,dub,jug
羽毛球,badminton,baseball,football,volleyball
令人愉快,agreeable,inquirer,ossify,betimes
跟踪,trail,train,trawl,avail
方言,dialect,direct,deflect,dialectic
证明,manifestation,indicate,it is  clear,so-called
补充,complement,compliment,competent,implement
伪造,counterfeit,create out of the imagination,faking a modern object as an ancient one,create a disturbance
老练,adept,advent,adapt,adopt
凸起,prominent,proponent,preeminent,prominence
一个人,one,vie,once,oz
粮食不足,dearth,hearth,earth,hearty
小块肥皂,tablet,table,fable,goblet
婴儿,infant,intact,infamy,infest
纯度检验证明,hallmark,fruit,savage,wingspread
崇敬,venerate,generate,enervate,venerable
分子,molecule,reader,member,audience
极小量,particle,article,pantile,partial
步行,tramp,champ,rasp,damp
白粉,whiting,whiten,wetting,hemp
擦掉,erase,crease,verse,east
感动,furor,stir,be indecisive,influence
烦扰（的行为）,harassment,probable,supporter,producer
困难处境,plight,blight,flighty,sight
概说,generality,generalize,generosity,leading principles
空气,aerial,arterial,trial,aural
离题,irrelevant,relevant,adherent,marriage
焚烧炉,incinerator,stove,to struggle,cane
使…知罪,convict,connect,conflict,consist
勤奋,diligent,childish,diligent,make nothing of hardships
继承人,heir,here,hour,weir
手稿,manuscript,finalize a manuscript, text, etc.,reading material,a book on the art of war
包饭,board,beard,hoard,bold
光学,optics,antics,option,optical
雷达,radar,raider,ajar,razor
变化,deteriorate,vicious circle,suddenly turn hostile,fluctuate
(对某人种、民族等有计划之)集体,genocide,ecocide,stress,ineffable
摹拟,imitation,limitation,citation,irritation
统计员,statistician,employee,guide,supervisor
居住期间,residence,residency,resident,evidence
出身,origin,original,organ,frigid
有方法的,methodical,orchestral,auditorium,tumbler
独奏,recital,revival,requital,decimal
甜食,dessert,desert,descent,assert
想象的产物,fantasy,icicle,electrify,stadium
铁栅,grid,iris,grin,grind
趋势,tendency,tenancy,inevitable outcome,dominant
分配,allot,to exchange,book a whole theatre,cash
忠实,fidelity,finality,infidelity,false
夺取,capture,rapture,pasture,culture
维护,assert,assent,asset,insert
打算,calculate,calculator,circulate,accomplice
辩论,argue,large,true,barge
(尤指商业或贸易)部门,sector,vector,factor,mentor
黄瓜,cucumber,encumber,pumpkin,pea
酬金,fee,veer,fly,get
家常便饭,potluck,pluck,New Year's Eve family dinner,meal
(工作等)棘手的,tricky,track,trickery,truck
浸湿,soak,oak,pork,swab
有孔的小珠,bead,weed,bend,bed
即时,summary,summer,summat,so much so that
才能,aptitude,attitude,altitude,latitude
圆木桶,barrel,barter,barred,barren
流星,meteoric,metric,meteorite,meteor
任何地方都不,nowhere,cowherd,cohere,where
结合,coalition,volition,condition,collision
衰老,decrepit,deceit,walk over leisurely instead of riding in a carriage,ruined
手册,manual,bannal,mutual,mammal
诅咒,oath,lathe,at,out
霉（因温湿而生）,mildew,penthouse,poorly,buffet
投降,surrender,suspender,arbitrate,bruise
偏头痛,migraine,migrate,migrant,casual
令人尊敬,venerable,venerate,vulnerable,vegetable
正点,punctual,punctuate,originally,take the lead 
逃避,flee,lee,flake,flame
猛投,hurl,furl,burn,jury
排水,drainage,the world of business,industry and commerce,banking
签名于下,underwrite,underrate,detention,dam
支票,bill,call,bike,mill
释放,release,relate,relegate,reverse
做广告,advertise,adverse,mark a price,on the market
充血,congestion,emerge prominently,display,come forth in large numbers
开始,inaugurate,inaccurate,inaugural,to drive a car
爬行,crawl,brawl,cramp,crew
华丽,superb,super,supper,suburb
短故事,anecdote,antidote,particulars,privacy
重迭,overlap,overpay,overtax,overland
模糊不清的事物,blur,flux,glut,blue
供认,confession,concession,concussion,confusion
花费,take,stake,sale,taper
尊敬,esteem,stem,teem,steel
调整,regulate,emulate,relate,regular
游艇,yacht,cache,facet,pact
远离中心,outlying,outline,outgoing,wistful
『化学』氰化物,cyanide,jobber,backwards,spin
易弯,pliable,liable,amiable,reliable
单边,unilateral,trilateral,bilateral,a slip of a pen
戏剧,dramatic,dramatics,dogmatic,dramatist
易燃,combustible,advantage,weak point,strong point
朝后面,back,pact,pace,hack
原始,primitive,made in China,standard,gift
原油,crude,prude,ride,pride
理论,academic,academy,criticize,to smear
努力,strive,strife,stroke,thrive
解释,explanatory,quote,to refer,to download
香的,fragrant,flagrant,fragment,vagrant
汽车,hatchback,police vehicle,all terrain vehicle,taxi
格言,aphorism,complement,norm,amino-group
(马、自行车等的)鞍,saddle,paddle,peddle,sale
锭,ingot,not,inset,angst
可怕,awful,lawful,awl,annul
无效,null,hurl,gull,scull
有效,effective,elective,defective,government
公告,bulletin,bullet,post,taxation form
（从灾难中）抢救,salvage,savage,ravage,silage
语调,intonation,innovation,intention,invocation
调查,inquiry,enquiry,inquire,enquire
中立,neutral,ventral,central,neutron
磨碎,grate,crate,rake,irate
撤退,retreat,retrial,repeat,recreate
监督,superintend,supervise and urge,to inspect ,stay at a selected  grass-roots unit to help improve its work and gain firsthand experience for guiding overall  work
显然,obvious,devious,odious,envious
社论,editorial,An Outline Treatise of Medical Herbs, compiled by Li3 Shi2 Zhen1 李时珍,stereotyped writing,treatise
变成,become,income,welcome,before
美学,aesthetics,anatomy,biology,geology
合适,suitable,stable,unsuitable,sizable
面对(危险等),confront,cautious,moss,ardour
小册子,pamphlet,scrap,booklet,encyclopedia
微生物,microbe,micron,disrobe,animals and plants
与…平行,parallel,parable,enclose,soliloquy
忍耐(力),endurance,insurance,entrance,starling
烤面包,toast,coat,tact,toady
职业选手,professional,exposition,tripper,silk
(使)变紧,tighten,lighten,brighten,lighter
季风,monsoon,pontoon,mansion,gust
在…中,amid,avid,acid,arid
前情,antecedent,overpass,cobweb,stub
开场白,prologue,prorogue,duologue,gossip
(日,eclipse,ellipse,elapse,avarice
狂暴,furious,curious,serious,dubious
使厌倦,sicken,wicket,silken,wicker
禁止,inhibit,inhabit,inherit,visa
向四周溅出,splash,slash,splay,plush
能劝说的,persuasive,persuasion,pervasive,measly
暗示,hint,paint,hunt,mine
合成,composite,compositor,compost,composure
制止,refrain,retain,terrain,regain
黄蜂,wasp,warp,gap,ash
愤怒,fume,fuse,fame,pure
肯定,certainty,certainly,certain,to duplicate
补偿,indemnity,indemnify,indignity,lengthen
量…口径,calibrate,celebrate,calibre,celibate
外侨,alien,aliment,align,linen
疲劳,fatigue,high-spirited,to take a breather,hold one's breath
硬皮,crust,crest,crisp,crusty
赶走,oust,musty,omit,cost
延长,protract,protect,protractor,retract
副作用,side-effect,ferment,real results,significance
不顾一切,desperate,temperate,desperado,unruly
笨拙,clumsy,flimsy,calumny,clump
土产,indigenous,criterion,one's job,foreign
初期,incipient,recipient,incident,mid
重申,reiterate,literate,iterate,vicious circle
妒忌,jealous,zealous,jealousy,be convinced
