#word,meaning,option1,option2,option3
使接触,contact,context,concoct,content
皱眉,frown,grow,drown,own
从…以来,since,singe,dance,wine
先驱者,pioneer,ponder,people,posterity
发明,invent,advent,intent,infest
俯瞰,survey,serve,sure,curve
宽恕,forgive,furtive,forge,caring
立场,standpoint,calligraphy,derogatory sense,grammar
令人满意,satisfactory,to plan,gentle,to count
赌金,stake,bake,stave,stoke
自主,independent,spittle,disaster,velocity
旺盛,thrive,trice,derive,shrine
标签,tag,eat,tab,wag
事务,pursuit,pursue,work,logistics
腐烂,decay,decoy,debar,delay
许多,numerous,humorous,can't tell how many there are - there are numerous similar cases,arch
财政,finance,fiance,fiancee,finale
畏惧,dread,reap,dead,bread
高尚,noble,nose,ignoble,lobe
破坏,destroy,destroyer,destiny,peel off
有环连接,link,sink,rink,kink
英雄,hero,herb,hers,heal
执照,permit,vermin,pert,emit
引退,retire,satire,refine,revise
乳,milk,mile,mill,tick
微风,breeze,freeze,wheeze,breech
课程,course,coarse,courier,cruise
河的源头,source,surge,coerce,resource
小河,brook,brooch,droop,broom
丈夫,husband,husbandry,disband,husband or wife
如实,faithful,unfaithful,fitful,chase the wind and clutch at shadows - make groundless accusations
使工业化,industrialize,odd,vilify,headhunter
催促,urge,pure,surge,orgy
法国,France,chance,trance,brace
狭的,narrow,barrow,marrow,arrow
钻孔,drill,drawl,drink,drip
位低下,humble,fumble,amble,rumble
剃,shave,slaver,sharp,shiver
电视,video,idea,aide,vine
谷物,grain,granny,grind,rail
香水,scent,ascent,cant,scenic
轻击,tip,pip,nib,jib
图书馆,library,literary,radio  station,club 
同样,likewise,to be part of,be no different,to be united in action
礼物,present,prevent,presently,pretext
姓,surname,surface,furnace,concrete
网球,tennis,tenpin,teens,hockey
优先权,preference,precedence,reverence,reference
时常,frequently,all long,many times,always
继承,inherit,interim,invert,inert
出席,presence,pretence,prudence,preserve
为…祝福,bless,bliss,lens,blush
不可避免,inevitable,no more,soon after,to guarantee
诺言,promise,premise,profile,prose
携带,carry,carve,airy,parry
环境,condition,conduction,conviction,coalition
业务,practice,practise,practical,way of making a living
三明治,sandwich,candy,maltose ,sandwich
发展,development,progress step by step,stride proudly ahead,sink low
人造卫星,satellite,planet,planet,satellite
斜着,sideways,sidewalk,gage,campus
手提,portable,parable,portage,portal
像,image,imagine,imagery,usage
使大吃一惊,startle,state,stable,start
旋转,rotate,donate,potato,estate
有秩序的,orderly,ordeal,elderly,order
方面,phase,pace,vase,purse
使确信,convince,convict,continue,convene
幸运,fortunately,break out,reap without sowing,to rise to power and position
统计,statistical,speculative,summary,layout
特有,characteristic,special,as far as possible,as one wishes
地平线,horizon,home,multinational,manor
一圈,lap,pap,clasp,alas
安装,install,instant,instil,stall
煤矿,pit,pint,aid,spit
播种,sow,mom,set,new
调查,research,search,detect,investigate
飞机,aeroplane,airplane,spaceship,sail
祝贺,congratulate,Happy New Year,deal with,offer birthday felicitations
限定,define,desire,decide,destine
极端,exceedingly,excessively,many,although
给…娱乐,amuse,cause,pause,muse
集中,centre,gentry,venture,gentle
预测,forecast,forest,foremost,recast
体质,constitution,standard,foundation,typical
专攻,specialize,socialize,speciality,specialist
广口瓶,jar,tax,oar,eat
天,heaven,beaver,leaven,weaken
伴随,accompany,company,break faith with somebody,meet
湿的,humid,mid,lucid,lurid
掷,toss,moss,those,fuss
使陷入,complicate,implicate,complicity,eighteenth
心神不安,uneasy,easy,queasy,greasy
会见,meeting,break faith with somebody,to support,to violate an agreement
虔诚,religious,religion,delicious,hypocritical
单独,alone,cloze,prone,elope
精确,precise,precis,premise,revise
新近,recent,repeat,recant,resent
花,flower,glower,flour,flow
渴的,thirsty,thirty,thirst,thirdly
贮藏量,storage,steerage,stoppage,shortage
完全,wholly,woolly,holly,whole
突然不见,vanish,mannish,banish,varnish
帽子,hat,Cal,mad,haw
真正,genuine,equine,engine,it would be better to
嘲笑,scorn,score,snort,corn
暴力,violence,silence,violent,vision
牲口棚,barn,bare,earn,bar
镇压,crush,truss,crest,crash
凯旋,triumph,triumphal,trump,excel
雇佣者,employer,employee,explorer,empower
赶上,catch,latch,lath,patch
永久,permanently,all day long,half of the day,momentary
刷新,refresh,repress,redress,fresh
耐久,durable,adorable,arable,parable
商业,commerce,commence,coerce,compere
著名,famous,amour,campus,infamous
在…下方,beneath,breath,bequeath,hoist
猛烈,violent,violet,violence,virulent
计算机,computer,compute,compete,compote
牛棚,stable,gable,stale,arable
蜜,honey,hobby,phoney,hone
道德,moral,oral,model,focal
轮,wheel,weep,heed,heel
追上,overtake,overtax,overture,overrate
发展,evolution,revolution,evaluation,devolution
极好,super,saucer,sneer,superb
实际上,actually,actuality,actual,as expected
消像,portrait,portray,to draw,quick sketch
消耗,consumption,inflation,overawe,secret
限度,limit,lift,visit,lilt
平稳,smoothly,ungrateful,bide one's time,whoredoms
坚韧,tough,trough,though,touch
困境,difficulty,difficult,plight,details of a case
废话,rubbish,publish,furbish,grunt
加宽,widen,waken,warden,mien
暗指,implication,original meaning,derogatory sense,pathology
沟渠,canal,casual,carol,zonal
磨坊,mill,miss,gill,pull
市场,market,racket,packet,marked
吊,suspend,suspense,suspender,spend
声称,claim,clam,flail,clash
滑的,slippery,shipper,slipper,clippers
任务,undertaking,right to vote,civil liberties,property right
感觉,feeling,embrace,publicly known,to make up one's mind
传统,tradition,gradation,transition,radiation
机械,mechanically,arise from the dead,keen,not of imposing stature but strong and capable
额头,forehead,head,old age,remains
效率低的,inefficient,useless,answer the questions without any hitch,not of imposing stature but strong and capable
神圣,sacred,hatred,secret,acre
预定,reserve,deserve,reverse,serve
劝告,recommend,commend,declare to be at fault,appease
蜜月,honeymoon,sick leave,day off ,legal holiday
倾泻,pour,or,soar,pot
记忆,memorial,memorize,immemorial,see clearly
体贴,consideration,worry,excuse,lenient
书写,writing,pad,to respond to a poem with a poem,recite
创造,create,cremate,ornate,chelate
惦念,miss,minus,mist,wish
西南,southwest,southeast,northwest,suburban district
职业,profession,procession,professor,profusion
授给物,grant,grass,rat,graft
会议,conference,confluence,confidence,inference
遵守,observe,obverse,observer,reserve
学费,tuition,munition,suction,edition
体育馆,gymnasium,art gallery,gym,library
木工,carpenter,carpentry,gardener,labor
液体,liquid,limpid,livid,quid
不管,despite,despot,despise,desire
帮助,aid,vain,sin,cad
次数,frequency,frequent,output,electrical energy
父亲,father,gather,weather,leather
指示,indication,indicator,invocation,induction
剥,peel,heed,cell,deal
重要性,emphasis,emphatic,emphasize,in high spirits
太太,madam,madman,maim,madame
自助食堂,cafeteria,joyride,threaten,erratic
略读,skim,ski,sum,slimy
赞扬,praise,phrase,raise,precise
称…的重量,weigh,weight,weird,wish
原则,principle,principal,adverbial adjunct,complement
病,disease,diverse,dispose,disperse
档案,file,pile,vice,rile
救护车,ambulance,imbalance,boat,cab
摇动,sway,wax,seamy,stag
间谍,spy,spry,sit,sub
国籍,nationality,member of the US House of Representatives,school roll,guardian
坚持,insist,desist,infest,assist
厌倦,tired,have a gnawing regret,abhor,love and hate
告别,farewell,to gather together,concentrated,to shake hands
骄傲,proud,prosy,rod,plod
唯物主义,materialism,hygiene,to run a school,middle school
计数器,counter,clutter,saunter,bounder
家属,relation,reaction,regulation,legation
武器,weapon,wean,teapot,beacon
流利,fluent,foment,affluent,flue
自立,independence,marine,hepatitis,remainder
通讯员,correspondent,nurse,media,edit
预期,expectation,unexpectedly,estimate,predict
观点,perspective,objection,idea,what  is thinking
巧克力糖,chocolate,astir,homesick,exact
限制,confine,confide,bonfire,coffin
笨蛋,donkey,monkey,honey,dinky
健康,health,healthy,realty,wealth
共和国,republic,republican,public,confederation
照片,photograph,phonograph,pantograph,portrait
提供,offer,offend,coffer,buffer
漂浮,float,afloat,flat,fat
拒绝,refusal,refuse,refuel,blame
手帕,handkerchief,scrubbing brush,bath towel,napkin
末端,terminal,seminal,terminus,terminate
报价,quote,quite,quoit,quit
电子,electronic,electric,electron,quantum
易变,variable,variance,invariable,valuable
逐渐消失,fade,face,nude,care
把…归因于,attribute,tribute,pregnancy,quartet
约束,restrict,district,strict,restraint
办公室,office,suffice,officer,offence
由于某种原因,somehow,imperious,surge,hunt
解析,analysis,analyst,analytic,analyse
使平衡,balance,palace,parlance,glance
元素,element,cement,clement,aliment
与其他不同的,distinct,instinct,distant,indistinct
给…导游,guide,hide,give,quire
加,addition,sedition,audition,adoption
口授,dictate,dictator,distaste,dilate
怀疑,doubt,lout,mount,dolt
有计划的,systematic,gorgeous,inure,everything
闪烁,twinkle,tickle,twiddle,swindle
铅,lead,dead,lard,head
普通,conventional,sole,freshness,necessarily
移民,immigrant,migrant,immigrate,emigrant
警察,policeman,special service,detective,gunner
歌唱家,singer,linger,dinner,hunger
玻璃杯,glass,gas,grass,crass
地理,geography,demography,biography,xerography
整齐,regular,regulate,irregular,jugular
理发师,barber,jabber,amber,banner
生性,instinct,instance,indistinct,distinct
紫的,purple,rumple,pursue,puree
软泥,mud,but,map,curd
尺寸,measurement,specific heat,growth rate,depth
船货,cargo,carat,carrot,cadge
映象,reflexion,downhill,enliven,grisly
果断,decision,delusion,revision,decisive
种类,description,WAN,network,digital network
正当,valid,rapid,void,maid
在…里面,inside,side,incite,invite
火炬,torch,couch,teach,porch
消耗,consume,consumer,consult,console
户外,outdoor,outdoors,outlook,outdo
邻人,neighbour,together,opposite side,partisan
剂量,dose,lose,hose,dole
衣领,collar,cellar,caller,poplar
十,ten,tuna,yen,too
成果,result,resort,revolt,resist
洗衣房,laundry,sundry,foundry,launder
森林地带,forest,fore,fort,forget
扫帚,broom,groom,brow,boom
装钉,bind,mine,bend,wind
缆,cable,fable,Yale,maple
经典,classical,classic,scriptures,coil
精耕细作,intensive,intensify,intense,incentive
滚动,roll,krill,roan,droll
转动,turn,jury,urn,stern
布丁,pudding,wedding,pending,fried cake
同班同学,classmate,motormouth,overload,wing
大量,abundant,abundance,pride,extend 
同伴,company,comply,compass,accompany
小品文,essay,assay,say,easy
缺乏,lack,hack,luck,ace
平底锅,pan,sag,bin,ad
绅士,gentleman,shopkeeper,master,business proprietor
莽丛,jungle,juggle,single,wangle
斗争,struggle,straggle,smuggle,strangle
酸的,acid,avid,arid,amid
天花板,ceiling,cling,floor,ground
牵涉,involve,invoice,invoke,revolve
结构,structural,structure,all kinds of,some kind 
速度,velocity,ferocity,felicity,academy of sciences
彻底,properly,purely,half,even
向前,forth,forte,fork,worth
使惊讶,astonish,admonish,shoestring,outer
分,component,opponent,competent,duplicate
薄雾,mist,list,mitt,nest
榴弹炮,cannon,canyon,anon,annoy
瞌睡,nap,apt,gap,amp
鄙视,despise,despite,desist,respire
电的,electric,electrical,electronic,electron
广场,square,spare,squirm,squash
分歧,difference,inference,deference,different
山脉,range,mango,orange,lane
不公平的,unfair,fair,unfit,affair
保存,conservation,homing,deposit,access
厌恶,disgust,discuss,disguise,digest
对抗者,opponent,component,exponent,wisdom
控制,control,central,surpass,to limit
电炉,stove,plaything,rattle-drum,tumbler
外皮,skin,spin,skid,skip
使发展,evolve,devolve,evoke,revolver
伸向,trend,tread,tend,arena
圆盘,disk,dash,dusk,disc
练习,rehearsal,rehearse,reversal,take lessons after school or work
有益健康,healthy,health,hearty,hearth
记号,tick,dock,trick,lick
化学家,chemist,coexist,demist,chemistry
代表性的,representative,flop,grindstone,philtre
见,sight,eighth,blight,tight
心胸宽大,liberal,liberty,libel,literal
抵抗,resistant,hesitant,resistance,assistant
签名,sign,sift,mien,sin
刀口,edge,hedge,dodge,ridge
古罗马人,Roman,plane,mouthful,calamity
交通量,traffic,tragic,ration,capacity
一定,definitely,at last,no longer,life insurance
社会主义,socialist,socialism,specialist,vocalist
意图,meaning,Five-Year Plan,calculation,will
轮船,steamer,streamer,steer,speaker
海豹,seal,tell,heal,ear
剑,sword,word,wood,snore
温室,greenhouse,flower garden,vegetable field,woodland
平均,average,aerate,verge,beverage
在…之中,amongst,chiffon,lust,unkind
不省人事,unconscious,madly,stifle,paralysis
铁路,railway,airway,track,highway
缺席,absence,absentee,ambience,absent
瓶,vase,take,gape,rate
短处,shortcoming,advantage,merit,selfish interest
奖,award,inward,aware,away
发展,develop,envelop,leave behind,downward
浏览,scan,scud,son,shun
生日,birthday,non-working day,summer vacation time,menstrual period
有关,relevant,elegant,irrelevant,reliant
联盟,federal,general,funeral,several
标准,standard,tankard,external,additional
发明家,inventor,investor,inventory,invention
国内,internal,eternal,integral,interval
反映,reflect,deflect,respect,refract
理由,argument,armament,augment,plait
生态学,biology,zoology,geology,virology
假期,vacation,valuation,vexation,faction
空姐,hostess,hostel,possess,barber
压缩,condense,condenser,converse,convene
火花,spark,bark,start,sperm
促进,accelerate,exert ,in addition,to place
政治,political,politick,politician,politics
护士,nurse,purse,verse,curse
必不可少,indispensable,urgent,unnecessary,perfunctory
颠倒,upside-down,hoisting,wall hanging,to spread out
未必,unlikely,unlike,likely,untimely
菜馆,restaurant,snack bar,dairy farm,store
地狱,hell,telly,jelly,halt
大理石,marble,gamble,warble,garble
不利,disadvantage,insurmountable,injure,guard
技术,technical,technician,mechanical,ability to write
应把…归功于,owe,vie,gown,we
全体委员,committee,bequeath,arthritis,wry
和蔼,gentle,gently,mettle,nettle
职业,job,joy,god,now
马科动物,horse,corset,those,pore
拖鞋,slipper,sapper,skipper,slippery
露天大型运动场,stadium,tedium,irregular,disclose
大气,atmospheric,fervent,pride,using strong words
试验,experiment,expedient,experiments,end of term examination
君主统治,reign,rein,rig,resign
图画,drawing,judo,cartoon,skill
潜力,potential,endurance,a helping hand,charm
野餐,picnic,panic,breakfast,news
保证,ensure,endure,censure,ensue
吻,kiss,bias,miss,list
谜,puzzle,guzzle,muzzle,purple
基础,basis,base,oasis,basin
航空公司,airline,airlane,airplane,airliner
管理部门,administration,coal,rupture,auditory
养料,food,hook,moon,fond
难对付的,difficult,difficulty,sceptical,carton
精密度,precision,decision,provision,revision
鲜艳,vivid,livid,ibid,divide
知道,knowledge,concerned,remember,proficient
减少,decrease,decease,crease,recreate
遗弃,discard,discern,discord,dastard
表,list,fist,lift,lime
痛苦,miserable,miserable,mixed feelings of grief and joy,grieve
录音机,recorder,recover,record,reporter
求婚,propose,profuse,purpose,apropos
揭开…的盖子,uncover,cover,unmoved,recover
立即,immediately,first,interim,solely
透镜,lens,less,gene,let
海洋,ocean,organ,scan,omen
劣等,inferior,interior,anterior,inferno
详尽,thorough,trough,through,though
注意力,attention,abstention,attentive,retention
当局,police,policy,price,poultice
曾经,ever,every,ewer,lever
退出,exit,wait,chit,eat
足够,sufficient,efficient,to squander,balance
本国,domestic,republic,independent state,Paraguay
紧的,tight,tit,right,bright
效果,purpose,prose,purse,suppose
圈住,surround,surmount,mix,surround
度过,spend,upend,pond,sand
量,measure,meagre,pleasure,reassure
物理学家,physicist,physics,physician,banker
演讲,lecture,feature,lecturer,venture
一定,bound,and then ,honest,guarantee
然而,nevertheless,and,in order to,in addition
最终,ultimately,past events,history,originate
合情合理,reasonable,seasonable,reasonably,personable
吃饲料,feed,fret,red,peep
类别,sort,foot,snort,short
设计,design,designer,deign,resin
人行道,pavement,payment,basement,movement
版次,edition,addition,tuition,sedition
标语,slogan,login,loan,code word
勤劳,industry,duration,passive,energetic
处境,situation,station,citation,saturation
结构,framework,all kinds of,some kind ,organized group
向下,downward,onward,downwards,popularize
经济,economy,ecology,economic,to lose
公司,firm,form,film,farm
苦役,slavery,slave,slaver,shaver
知道,aware,rare,awaken,dare
宽松,loose,moose,lose,lone
存放,deposit,depositor,depose,deport
收藏品,collection,collector,connection,confection
散播,scatter,patter,starter,spatter
外部,exterior,anterior,interior,ulterior
不一致,disagree,elucidate,collision,shake
千,thousand,thousandth,twenty,ten
轻蔑,contempt,contest,concept,context
助手,assistant,resistant,assistance,upside
连接,connection,convection,confection,correction
侦察员,scout,cut,stout,soft
摇摆,swing,sling,sing,wing
阶段,stage,safe,sage,siege
班船,liner,lone,sinew,linear
交往,associate,dissociate,exchange,goodwill
苏维埃,Soviet,Kuomintang,Democratic Party,proletariat
发射光线,radiate,radiant,satiate,irradiate
学习,learning,advanced studies,to launch,to practice
日历,calendar,calender,visitor's book,credit card
修改,correction,connection,collection,corrective
错误,mistake,misstate,intake,misdate
电压,voltage,village,postage,cottage
逻辑性,logic,toxic,tonic,login
经历,career,carper,charter,care
旋转,rotation,station,notation,ration
不用电线,wireless,tireless,lifeless,timeless
索,cord,cardboard,noiseless,popular
盒式录音带,cassette,hussy,agenda,parse
房间,chamber,camber,hamper,clamber
难以理解,mysterious,custard,sympathy,lower
祝贺,congratulation,Happy New Year,blessings,deal with
海图,chart,char,shirt,cart
分享,participate,come under attack,forthwith,to share
顾客,customer,customary,custom,reader
懂,understand,underhand,understate,primary
淹没,flood,brood,look,blood
航海,voyage,homage,visage,voltage
发芽,shoot,snoop,scoot,smooth
溺爱,fond,sand,fan,one
旱灾,drought,ought,trough,nought
家畜,creature,create,armature,treasure
伸展,extension,tension,extensive,expansion
信心,reliance,alliance,defiance,reliant
解决,solve,absolve,solo,sole
近便,convenient,no good,portable,volunteer
照亮,lighten,lighter,eighteen,frighten
有活力的,dynamic,dynamics,dynamism,dynamite
颈,neck,back,beck,nick
邮费,postage,portage,postdate,voltage
个人,intimate,estimate,intricate,ultimate
卡车,truck,muck,tuck,trick
紫罗兰,violet,violent,vile,billet
光荣,honourable,celebrated,immortal,corruption
可爱,lovely,lively,homely,love
使惊恐,frighten,brighten,lighten,fright
生命,being,to experience for oneself,warning,a  date
扩大,expansion,explosion,extension,expansive
抗议,protest,protect,prowess,potent
校园,campus,famous,rumpus,cactus
最高,peak,perky,peek,punk
口授笔录,dictation,diction,dictator,citation
舒适,easily,family,heavily,gasify
品质,quality,qualify,equality,quantity
隐瞒,disguise,disgust,disburse,disuse
引进,introduce,appear ,well-known ,recommend 
民主,democratic,democrat,impartially,to open
尊敬,regard,reward,retard,record
树胶,gum,cue,yam,glum
部,ministry,minister,epidemic,dropout
神秘的事物,mystery,master,mystify,mister
属于,belong,begone,long,felony
使结合,combine,combing,commune,compile
菜单,menu,melt,mend,mesh
笑话,joke,joker,none,poke
薄板,sheet,sheer,whet,wheat
品脱,pint,sprint,plant,pink
神父,priest,arrest,crest,protest
乐趣,fun,June,dun,bun
起居室,living-room,dining hall,kitchen,lavatory
有影响,react,tact,teach,reap
给…深刻印象,impress,oppress,empress,express
长袍,gown,down,gold,gore
夸脱,quart,hurt,chart,qualm
竞争,competition,scold,to compete,damn
田径运动员,athlete,athletic,revival,incendiary
调查,investigate,track down ,detect,to prohibit
境遇,circumstance,strong current,origin,circumstances
禁止,prohibit,obtain permission,to affix a seal ,visa
微型计算机,microcomputer,bin,decipher,inconstant
年报,annual,annul,anneal,biannual
弄乱,disturb,distort,pageant,sluggard
结尾,conclusion,concussion,concession,conclusive
销毁,dispose,disrobe,despise,disposal
手袋,purse,pose,pursue,pulse
打字员,typist,papist,typify,twist
正义,justice,justify,injustice,juice
最初,foremost,forecast,forest,unlimited  duration
许多,many,zany,lanky,wan
下,underground,idiomatic,descend,midway
各自,respectively,therefrom,along,with one's own hands
螯,claw,class,crawl,glow
偶然,occasionally,perhaps,not at all,eventuality
注释,comment,torment,commit,commend
首要,prime,price,ride,primate
摩擦,rub,rug,sub,sun
革命,revolutionary,should,to deserve,cannot but
矿工,miner,mince,mixer,manner
头痛的事,headache,heartache,mama,forgetful
工作,labour,to inherit,undertake to perform work within a time limit and according to specifications,to go to the office
循环,circular,circulate,to duplicate,variation
日光,sunshine,sunshade,glare,hotline 
问题,problem,probe,Swedish ,Sanskrit
急速,hasty,hefty,musty,haste
老兵,veteran,model,spy,air force
情报,intelligence,rumor,get or supply meals at a fixed rate,report of success
灰色,grey,greasy,grow,orgy
鲜明,gay,jaw,slay,dry
依靠,dependent,dependence,defendant,by
卸,unload,inroad,unlock,load
首先,primarily,primary,often,prior
密集,dense,denote,devise,tense
现代,modern,model,mode,mourn
波长,wavelength,ink,journey,compartment
反对,object,abject,subject,reject
触,touch,vouch,tuck,pouch
抛,cast,bust,cart,cask
逐渐,gradually,immediate,merely,just
保证,undertake,understate,undertone,underrate
牲畜,beast,boast,lest,blast
谷,valley,alloy,valve,galley
指导,direction,detection,directive,director
增进,gain,spin,again,drain
行销货,seller,shelter,sender,teller
协议,treaty,streaky,treat,teat
适当,applicable,futile,not miss the farming season,portable
果实的心,core,robe,come,yore
丑陋,ugly,ably,only,surly
约定,appointment,invite,to put into practice,break faith with somebody
拒绝,reject,eject,revert,repeat
决定性的,critical,clinical,criminal,critic
大杯,mug,mud,man,lug
反映,mirror,horror,morrow,error
硫,sulphur,conquer,bureau,feign
家庭,household,clan,Tibetan nationality,the Benglong  nationality
股份,share,shore,charm,smart
明显,evident,evidence,event,resident
投宿,lodge,midge,dodge,ledger
呵欠,yawn,town,lawn,pawn
让,suppose,purpose,oppose,supple
