#word,meaning,option1,option2,option3
低估,underestimate,reasoning,suspect,anticipate
寄宿公寓,boardinghouse,there,hang,unversed
杰出,mounmental,out of the common run,shocking,anything but  reassuring
辉煌,brilliantly,glitter,blur,intense
（总称）神话,mythology,pathology,anthology,obstruct
理解,comprehension,forget,to know,to find out
伪装,camouflage,to take a breather,hold one's breath,outstanding
产卵,lay,tax,let,cat
后面,rear,sear,reap,eat
公民（的身份）,citizenship,misfortune,sapper,cheap
动物保护区,sanctuary,sanitary,buffer,kilovolt
盐水,briny,plain boiled water,liquid water ,mineral spring water
优先,priority,probity,day by day,hurriedly
附加,attached,appreciation,to increase,rich
主管,superintendent,captain,to command,to have a holiday or vacation
卓著,distinguished,not good enough,not follow the beaten track,having special characteristics
消化,digest,diet,divert,detest
啮齿类动物,rodent,indent,resent,moment
地方主义,provincialism,money worship,nationalism,selfish departmentalism
焦虑,agitation,habitation,capitation,imitation
不适当的,inappropriate,recount,nightdress,unwieldy
薄雾,haze,mace,hazy,haw
皱纹,wrinkle,crinkle,tinkle,trickle
（使）传播,circulate,circular,calculate,digit
惊吓,scare,snore,scarf,spare
镶板,panel,planet,lane,canal
击退,repel,reaper,revel,impel
使磨损,fray,flag,quay,way
观众,audience,ambience,person receiving sth,listeners
磁铁,magnetic,magneto,magnet,magnetism
模拟,simulate,stipulate,stimulate,emulate
先天,congenital,congenial,external,original
发酵,fermentation,ferment,application,to verify
繁殖,multiply,multiple,breeding,grow
促进,further,farther,feather,father
剧烈,acute,cute,route,cue
预示…的来临,herald,head,herd,heal
教职工的总称,faculty,faulty,facility,fault
亲密,intimacy,be neither too familiar nor too distant,essential,acquaintance
脚后跟,heel,peel,hie,meal
谴责,condemn,condom,concern,take the blame
文学（上）的,literary,literacy,literally,literate
水翼船,hovercraft,overdraft,canoe,tow
编成法典,codify,modify,notify,bodily
明亮,luminous,mutinous,ominous,glutinous
不尊敬的,irreverent,balance,wintry,meagre
分发,distribution,to receive,to issue,provide
把…分类,classify,classic,classy,clarify
再建,reconstruction,improve,to make better,worsen
电子管,tube,cube,dude,be
污染,stained,stir,attract ,to agitate
异常的灾祸,catastrophe,copula,gramme,prevail
怀疑,incredulity,half-believe, half-doubt,take to heart,possible
缠绕,loop,hood,lore,loud
严肃,serious,spurious,specious,nervous
有名无实的领袖,figurehead,gruff,impatient,postscript
绘画,painting,quick sketch,sketch,revise
结霜,frost,prosy,front,rosy
才能,flair,lair,fair,flash
为沐浴,lave,culinary,calculus,similarity
活泼,frisky,arrogant,to open,pessimistic
比…长久,outlast,outcast,outlaw,outclass
住宅,residential,office,large building,house
重建,reconstruct,rebuilding,build,to establish diplomatic relations
终止,termination,cease fire,by ,to come or go or get off work
（男人）对女人彬彬有礼,chivalry,arbitrate,to talk sb. over,to fawn on
刑罚,penal,venal,peal,peak
自传,autobiography,record,feature article,journal
清洁剂,detergent,emergent,deterrent,nutrition
大草原,prairie,praise,performer,permute
锯齿状的,serrated,loll,drainage,epaulette
水中呼吸器,scuba,tedium,hussy,expiration
不便,inconvenient,out of tune,full of,cry piteously for food
有竞争性,competing,synchronous,homosexual,the corresponding time period 
表皮,epidermis,skin,involuntary muscle,flesh
航海日志,log,sop,con,hod
奔流,torrential,flow,lower,slump
最初,initial,instil,inimical,initiate
可触觉的,tactile,tattle,active,pantile
安心,securely,deserve to be called,critical,be ill at ease
适度,modest,molest,modesty,midst
纱,yarn,vain,van,ban
铁匠,blacksmith,locksmith,indentured laborer,planing machine operator
无私,impersonal,personal,a slip of a pen,constant
商业,mercantile,exploit,industry,plant
即席演奏者,improviser,misdirect,duel,pull
评估,assess,assessor,assert,assist
驱逐,expel,excel,expend,repel
使窒息,choke,hope,cooker,evoke
令人吃惊,astounding,warden,waters,jolt
一再重复,constant,inconstant,consent,consultant
发生频率,incidence,accidence,incident,plant
使人畏缩,daunting,outward,spotlight,threadbare
消化,digestion,analgesic,to cough,catch cold
出租马车、汽车,cab,cad,jab,saw
锈,rust,dust,butt,jest
机敏,astute,pasture,attune,estate
电报,telegraph,telegraphy,telegram,fax
沉迷,obsessed,be attached to one's native land and unwilling to leave it,not be used to certain food,sag
令人激动,breathtaking,sharper,eligible,gobble
雕像,statue,status,static,skate
不发达的,underdeveloped,overstay,genealogy,lintel
媒体,media,medal,mediate,merit
呼吸,breathe,wreathe,breadth,breath
生计,livelihood,likelihood,a simple meal,life
建造者,wright,sculptor,linguist,authority
（果类或谷物）外壳,husk,husky,dunk,musk
轨道,path,maths,fate,pate
气候,climate,climax,cremate,primate
确定方向,orient,priest,friend,torrent
比较,comparative,go so far as to,handle,to take the place of
茶壶,teapot,depot,teat,despot
推进物,propellant,helmet,emigrate,interact
敏捷,agility,sunset,junior,premature
野心,careerism,sexual desire,to desire,look forward to
无能,inability,short and pithy,dabbler,not  attend to one's proper duties
喝彩,applaud,applause,animal call,howl
没受干扰,undisturbed,unruffled,panic,urgent
优点,merit,pert,emit,media
活力,freshness,financial resources,force,vision
秃鹰,condor,fume,boar,transfer
得到,obtain,detain,abstain,retain
常绿,evergreen,six,freight,derisory
分部,subsection,ministries and commissions,working committee,supreme court
感知,perception,reception,exception,deception
嘲弄,gibe,give,wire,tie
结构,fabric,cambric,rubric,various kinds
（动物）驯服的,tame,pave,tap,tome
间隔时间,interval,integral,internal,infernal
表面磨损,abrasion,abrasive,perfidy,muslin
使变形,deform,reform,inform,deport
掩蔽处,shelter,heater,svelte,swelter
组织,tissue,tussle,issue,fissure
罢工,walkout,teacher's strike,shopkeeper's strike,south side
承认,concede,conceive,concise,conclude
固有,intrinsic,extrinsic,foreign,made in one's own country
壁龛,niche,nice,rice,niece
提醒,remind,demand,remit,remain
保持,retain,regain,rejoin,retail
加料于(食物),enrich,entice,rich,limb
群岛,archipelago,lawn,islands,Faramita
毁坏,devastate,to smash,break apart,crack
不可抵抗,irresistible,quibble,captivate,freely
裂缝,rift,crack,snap,broken end
指数,exponential,determine the amounts of the components of a  substance,volume of use,plural
跟踪,trace,tram,rate,tract
目标,aim,arm,nil,in
入侵,invasion,envision,infusion,inversion
改革,innovation,intonation,invocation,to yield
全世界的,worldwide,communist,squint,drama
冷淡,frigid,rigid,friend,origin
美德,virtue,virus,virile,virtual
膨胀,distent,to cut over,to spread,change of direction
代表,delegate,relegate,elevate,delete
收益,proceeds,a sum of money,cash,profit and loss
新古典主义的,neoclassical,designedly,waterworks,hurl
人口稠密,populous,dial,penal,claret
运动,locomotion,locomotive,convection,pour
方案,scheme,schema,chime,sphere
公开,publicity,duplicity,publicize,striking
宿舍,dormitory,decorated archway,loft,school building
惊人,astonishing,urgent,essential,amiable
积聚,accumulation,to extend ,to distribute,to line up
民主政治,democracy,democrat,selfish departmentalism,ethics
巨人,giant,gist,gift,lint
商议好的,concerted,consult,allow,reply
不明确的,implicit,explicit,implicate,illicit
元音,vowel,bowel,owl,vote
使固定,fasten,falter,fast,haste
勾引,seduce,deduce,deduct,reduce
骚扰,infest,intent,infuse,invent
严酷,harshness,revolution,counter-revolutionary,let bygones be bygones
压紧,compaction,undies,responsive,you
锦标赛,championship,semifinals,finals ,championships
残余,remainder,reminder,full,incomplete
有…倾向,disposed,tolerance,thicken,clash
空闲,leisure,leisured,ensure,measure
易于…的,apt,axe,dart,map
压迫,pressure,treasure,presume,pleasure
西班牙的,Hispanic,clay,gem,town
宇宙,universe,universal,diverse,unversed
缺乏,deprivation,inadequate,loss,dynamic equilibrium
入迷,fascination,be accustomed or used to,fascinate,to confuse
系,attach,attack,teach,attache
合作,collaboration,fully displaying one's capabilities,to be confronted with,grope
光辉,lustrous,luscious,firm,grand
石工术,masonry,mason,mastery,sordid
区别,distinguish,match,recognize,judge
未使用的,untapped,gristle,propound,permanent
松弛,relaxation,reparation,relation,be attached to one's native land and unwilling to leave it
印第安人村庄,pueblo,tinker,jargon,soul
水泥,concrete,concede,contrite,cinnabar
勇敢,bold,nod,hold,cold
人口调查,census,ensue,genius,consul
暴风雨,thunderstorm,drizzle,mineral spring,waterfall
高度装饰,baroque,pillow,chelate,squint
排除,elimination,overcome,quench,perish
老练,sophistication,ignorant,incorrigible,clumsy birds have to start flying early - the slow need to start early
救济院,infirmary,infirmity,vocational high school,military school
亲切和蔼,benign,deign,ensign,resign
优雅,graceful,peaceful,grateful,simple and unadorned
荒凉,bleak,bleat,leak,beak
提供资金,fund,hand,fine,fuel
难以置信,incredible,credible,half-believe, half-doubt,to believe 
统治,reigning,student's strike,withstand,shopkeeper's strike
以珠装饰,beaded,stipulate,abed,flush
领导能力,leadership,trapper,lunchtime,whisker
令人气馁,discouraging,maze,zebra,slipknot
拉格泰姆音乐,ragtime,prediction,pendulum,reader
评价,appraisal,appraise,roll call,to evaluate
多角形的,polygonal,else,bunk,protect
部分,section,auction,election,sanction
结伴,mate,rate,bath,hate
节约,frugality,to waste,sufficient,balance
史诗,epic,emit,pin,spit
偶然,fortuitously,inadequate,approximately,could it be
领带夹,stickpin,ring,bracelet,coral
伸展,stretch,screech,stench,trench
达到,attain,detain,obtain,again
在（船、飞机、车）上|上（船、飞机、车）,aboard,board,abroad,boar
地形,topography,typography,triangle,polygon
有雄心的,ambitious,ambiguous,ambition,muck
（气味）刺激的,penetrating,mile,ego,phial
郊区,suburb,sunburn,suture,suburban
烤,roast,toast,coast,host
隐藏,obscure,obscene,prevent sunstroke,evade
语言上的,linguistic,linguist,lesson,two
预算,budget,bullet,fudge,judge
污点,stain,stay,gain,detain
基础,fundamental,restrict at,level,underline
合成,synthetic,synthesis,mixture,knock together
给人错觉,belie,eerie,blue,bale
未触及的,untouched,arsehole,growth,congeal
调味品,condiment,confident,continent,pepper
呼出,exhale,exile,exalt,exhume
灿烂,gorgeous,beautiful,currently existing,flirtatious
吞下,swallow,wallow,shallow,wallop
美味,delectable,sweetness,genuine,very
影响深远,far-reaching,soapy,rebuff,extra
滑动,glide,glee,slide,glider
（贸易）进口,import,impart,impose,implore
剩余,residual,dynamic equilibrium,enough,loss
红辣椒,chilli,punk,bear,disoblige
扩散,diffusion,to take precedence,break up in discord,be headed by
作为…的例子,exemplify,exemplary,bloody,telepathy
神话,mythical,myth,short story,fable
宗派,denomination,right-wing,United Nations,underworld gang
易爆发的,explosive,expensive,explosion,exclusive
鞘,sheath,wheat,breath,sheathe
粘着物,adhesive,back,disarrange,stem
有相互关系的,correlated,timezone,niece,remote
赤杨树,alder,mercy,virus,torture
补助,subsidize,subside,provide assistance,support
古怪的（人）,eccentric,geocentric,sustain,boomerang
按年代顺序排列的,chronological,tantamount,hug,zoo
随风飘飞的雪,snowdrift,steal,breakdance,terminate
混乱,confusion,infusion,confession,conclusion
周期,periodical,periodic,the corresponding time period ,the Eastern Zhou Dynasty
避难所,haven,raven,heave,laden
大致,roughly,strive,really isn't,life insurance
纠缠,entanglement,connected by air, sea traffic or service,be antagonistic to,cut off 
爽快,exhilarating,safely,to calculate,to meet 
设计,devise,revise,device,deviate
明了,intelligible,have an insight into,forget,unforgettable
满腔热情,enthusiastically,humility,polite,pride
包裹,package,passage,curl,put aside
许多,myriad,byroad,circumference,polysaccharose
失业,unemployed,play down,persecute,well-known 
捷径,shortcut,difficult path,ladder,halfway
陆军上校,colonel,colon,coroner,colonial
半球,hemisphere,hemisphere,wave band,volume
热情,fervor,frantic,deferent,large quantity
凹陷处,depression,expression,oppression,impression
壁画,fresco,fiasco,fresh,scroll
苔原,tundra,Australia ,northeast,Hanzhong
手工艺品,handicraft,specimen,spare parts,remnant
挤成一团,huddle,fiddle,muddle,fuddle
拥有,possess,assess,hostess,obsess
小心翼翼,scrupulously,negligence,to be responsible for ,tactful
动机,motive,point of view,appeal,stamp collecting
包装工人,packer,sequel,reliant,ordain
争吵,brawl,bawl,brew,crawl
焊接,weld,heed,head,tell
现在,currently,current,currency,in the past
辅助,auxiliary,express sympathy, greetings, consolation, etc.,consolation,offer
出租车,taxicab,automobile,"through train" ,taxi
核的,nuclear,clear,nucleus,harlequin
重担,load,fad,loop,lobe
砍,chop,ship,pop,shop
(钟表的)主发条,mainspring,ruffian,impress,illusion
蜡笔、彩笔及其绘画,crayon,rayon,dragon,craven
协调,harmony,hormone,overlapping,widespread
趣味相投,congenial,congenital,congeal,accomplice
吐露（心事）,confide,confine,confirm,concise
肝脏,liver,olive,fever,lager
实现,realization,to hold ,tarry,final version or text
补充,replenish,lengthen,widen,addendum
未驯服的,untamed,impassable,oblation,island
出租给房客的住房,tenement,element,vehement,pelt
撞击,impact,pact,import,impair
检验,checkout,checkup,to go around and inspect,sanction
装饰品,adornment,makeup,rouge,perfume
喉,larynx,lynx,rein,yeah
拒绝,repulse,impulse,refuse,pulse
遵守,conform,confirm,confer,comfort
长期,chronic,chaotic,chronicle,carbonic
持久,abiding,assiduous,haul,make nothing of hardships
竞争能力,competitiveness,affiliate,servitude,garnish
规则,formula,formal,formulate,lean
浓缩,compression,shrink,tighten,to work
尺度,dimension,diversion,dissension,predicative
