#word,meaning,option1,option2,option3
低估,underestimate,reckon,assumption,expect
表面磨损,abrasion,abrasive,contagious,cafe
损坏…的形状,deform,reform,perform,before
日渐减少,dwindle,swindle,twiddle,dandle
庇护,shelter,swelter,heater,shelve
比较,compare,compere,compose,comrade
(生物的)组织,tissue,issue,tussle,fissure
给予,concede,concern,concise,conceal
固有,intrinsic,extrinsic,extracurricular,ready
起诉,prosecution,appeal ,testimony,to search
会计员,bursar,bursary,hussar,burner
提醒,remind,refine,remand,refund
聘,retain,retail,remain,obtain
使肥沃,enrich,entice,rich,thereafter
救出,deliver,delivery,diver,liver
公司、工厂、政府机构等的,payroll,lavish,vouch,cockroach
接连发生,succession,accession,successor,successive
摧毁,devastate,recovery ,to settle,to regain
古代,archaic,arctic,archaism,armchair
笨拙,ungainly,knowledge,muddled,not unwise
家禽,poultry,paltry,country,sultry
裂缝,rift,break apart,to injure,to leave in sb's care
跟踪,trace,trail,trance,race
要求,require,equine,requite,inquire
犯罪,err,staking,execute ,banish
改革,innovation,intonation,invocation,dominate exclusively
男性,masculine,man-made,accuracy,male
初步,preparatory,start building,to start,commence
授(权),delegate,relegate,elevate,delicate
阴谋,scheme,sphere,schema,scene
词典编纂人,lexicographer,tone,rooster,sample
八角堂,octagon,ferocious,equatorial,inveigh
宣传,publicity,duplicity,publicize,convene
民主国家,democracy,democrat,slick,sable
(和…)相配,match,itch,hatch,lath
(政治上的)避难者,refugee,refuge,refuel,refute
预定,concerted,promise,talks,to negotiate
挑逗,flirt,flit,fairy,glint
教学纲要,syllabus,syllable,epidemic,drought
含蓄,implicit,explicit,illicit,simplicity
冰箱,fridge,ridge,fringe,bridge
围巾,scarf,scar,star,scare
头脑作用,mentality,mortality,talented,will to fight
严肃,grave,grove,grade,rave
骚扰,infest,infant,incest,invest
余数,remainder,reminder,sum,time
治愈,cure,curse,lore,cute
回声,echo,chop,ego,ache
及物,transitive,transition,autopsy,jubilee
恰当,apt,art,jut,bait
用树篱围住,hedge,ledge,edge,wedge
气压,pressure,presume,treasure,reassure
晶体管(收音机),transistor,transitory,operable,cynical
有偿债能力的,solvent,silent,solve,convent
拔,pull,lull,full,pale
天真,naive,waive,knave,nail
附上,attach,attache,attack,attain
协作,collaboration,to try,to accomplish,to be confronted with
浅滩、浅水处,shoal,arrival,payable,inspector
表现突出,distinguish,doggerel,timorous,mimicry
从前的一种笛,tibia,titbit,ibid,timid
积习已深,inveterate,cramp,accretion,balm
近视,myopia,myopic,grand talents mature slowly,mature
混凝土制,concrete,concede,contrite,whimsy
甘心忍受,resignation,tame,to convince,beat up
冒失,bold,golf,fold,gold
统计数字,census,Jesus,ensue,genius
抑制,withhold,restrict,condition,to step across
熟悉,familiar,consciousness,to know,see clearly
舔,lick,nick,slick,lace
医院,infirmary,infirmity,military school,Cambridgeshire
令人沮丧,bleak,leak,beck,tweak
(无固定利息的)股票,equity,enmity,entity,enquiry
难以置信,incredible,credible,to accept sth. as true,can
植物学,botany,bonny,notary,bony
管理员,janitor,junior,monitor,Li Peng
评价,appraisal,appraise,to appraise,roll call
科室,section,sanction,station,mention
拉直,stretch,stretcher,scratch,retch
取得,attain,retain,attack,again
线的,linear,linger,lineal,linen
地形学,topography,typography,polygon,stature
热望,ambitious,ambiguous,ambition,to demand
城郊,suburb,superb,sunburn,suburban
一大块烤肉,roast,root,toast,blast
暗淡,obscure,obscene,shady,vague
失业(人数),unemployment,lee,bulletin,afraid
风采,mien,widen,keen,yen
预算额,budget,budge,fidget,gadget
污点,stain,stage,taint,tan
重要,fundamental,in high spirits,to aide,treasure
合成,synthetic,synthesis,complex,per capita
取消,negation,relation,elation,nation
呼出(气),exhale,exalt,whale,exhume
华丽,gorgeous,smooth,simple and unadorned,delicacy
忍受,swallow,shallow,willow,wallow
保留,keep,deem,seek,pep
悔恨,deplore,depose,declare,explore
赏心悦目,delectable,to meet ,relaxed,to plan
反馈,feedback,reciprocation,to sign ,application 
滑行,glide,alike,guide,grid
牧师,minister,canister,administer,sinister
软木,cork,cloak,cook,ok
招致破产,ruinous,gloomy,cower,horsepower
柏油,tar,vary,oar,to
险恶,nasty,musty,laity,easy
燕麦片,oatmeal,phenomenon,bag,teat
意味着…,mean,man,reap,leaf
举例证明(解释),exemplify,exemplary,theologian,militia
神话,mythical,fable,feature article,novel
币值的）单位,denomination,free ,to found,dissolve
炸药,explosive,explosion,exclusive,expensive
鞋钉,spike,like,spoke,spire
贿赂,subsidize,subside,fraud,accept bribes
古怪,eccentric,geocentric,ambiguous,neither fish nor fowl
按年月顺序的,chronological,pack,marvellous,flair
较小,lesser,superficial,it doesn't matter,shabby
混淆,confusion,infusion,concussion,conclusion
期刊,periodical,periodic,"Times" ,space of a whole page
安息所,haven,raven,haze,pave
无礼,brash,wash,boast,blah
息票,coupon,cocoon,colon,couple
设计,devise,deviate,defile,desist
可了解的,intelligible,unknown,long range,dark
现实(主义)的,realistic,atom,saint,abstention
包装用品,package,passage,frolic,skinflint
许多,myriad,byroad,series,semicircle
内心,heart,weary,heath,harm
创伤,trauma,drama,trump,tram
支柱,pier,poser,timer,liar
半球体,hemisphere,skeptical,zip,perquisite
低压(地区),depression,expression,impression,repression
聋的,deaf,day,bear,deify
挤成一堆,huddle,bundle,fuddle,cuddle
地质学,geology,zoology,ideology,theology
登记,enroll,enrol,roll,unroll
单调,humdrum,normalization ,peculiarity,irregular
生态学,ecology,eulogy,economy,biology
结合,weld,weft,bed,hold
面粉,flour,clout,float,blur
不关心的,unconcerned,corset,asbestos,azure
辅助,auxiliary,sell ,express sympathy, greetings, consolation, etc.,consolation
花招,ploy,trump card,violent teachery,mean 
(使)轮转,cycle,icicle,bicycle,circle
词汇表,vocabulary,jib,vigilance,antarctic
重大发现(成果),breakthrough,bleed,allegory,jetsam
排骨,chop,cop,chat,crop
协调,harmony,hormone,equilibrium,unlimited
导弹,missile,missive,misrule,massive
影响,impact,pact,implant,impale
炮兵(部队),artillery,raillery,awake,flit
围场,paddock,haddock,padlock,adopt
喉,larynx,lynx,commend,sulk
遵守,conform,confirm,comfort,confer
(疾病)长期未愈的,chronic,chaotic,chronicle,carbonic
公式,formula,formal,formulate,pattern
公顷,hectare,lecture,nectar,declare
再洗牌,reshuffle,remodel,reshuffle ,modified tone
体积,dimension,diversion,dissension,strength
指控,accuse,access,excuse,abuse
简化,reduce,refute,seduce,refuge
不合逻辑,illogical,biological,logical,scarcity
分散(注意力等),distract,distant,abstract,district
驱散,dissipate,frequency conversion,appraise at the current rate,gear shift
齐声,chorus,cirrus,crocus,corps
移居国外,emigrate,migrate,immigrate,emigrant
有威信的,prestigious,mortal,transact,petty
在…下面,underneath,austere,batten,explicit
觉得,feel,reek,free,eel
阴谋破坏,sabotage,zone,century,peg
宽广,width,winch,wish,with
滥用,abuse,anus,bust,busy
恃强欺弱者,bully,belly,build,bull
球拍,racket,packet,jacket,bracket
温度计,thermometer,level,instrument,plank
解说词,caption,caution,nation,bastion
沉默,dumb,bump,duly,jumbo
好色,lewd,lead,tend,load
拖,tug,kg,hub,tap
羽毛球,badminton,baseball,badminton,battledore and shuttlecock
与…一致,agreeable,coincidence,symmetrical,impracticable
跟踪,trail,tail,tray,rail
方言,dialect,dialectic,dissect,deflect
示威运动,manifestation,to say,seal,it could even be said
足量,complement,implement,compliment,competent
伪造,counterfeit,imaginary,to enjoy the limelight,to start a fit
老练,adept,agent,adopt,depth
显著,prominent,provident,prominence,preeminent
一个,one,don,love,owe
饥谨,dearth,earth,depart,wealth
碑,tablet,gable,fable,table
婴儿,infant,infantry,invent,intent
纯度检验证明,hallmark,posterity,underlie,amputate
崇敬,venerate,venerable,generate,penetrate
分子,molecule,user,fixed number of staff members or passangers,communist party member
极小量,particle,participle,article,partial
步行,tramp,frame,trawl,trap
白粉,whiting,whiten,wetting,hemp
擦掉,erase,praise,base,ease
狂热,furor,numb,crazy,blockage
烦扰（的行为）,harassment,jinks,congeal,stair
困难处境,plight,slight,alight,eight
大要,generality,generalize,generosity,story
航空,aerial,cereal,arterial,axial
无关联的,irrelevant,relevant,reproach,omen
焚尸炉,incinerator,cane,stove,incite
证明…有罪,convict,convince,conflict,consist
勤奋,diligent,make nothing of hardships,haul,to know the ropes
继承人,heir,hey,emir,rear
手稿,manuscript,lengthy ,books ,finalize a manuscript, text, etc.
包饭,board,bland,hoard,boar
光学,optics,antics,optical,option
雷达,radar,nadir,madam,afar
变质,deteriorate,cease to be faithful,flush ,to evolve
(对某人种、民族等有计划之)集体,genocide,ecocide,fortress,cliche
仿照品,imitation,invitation,limitation,agitation
统计员,statistician,typist,ticket seller,guide
居住期间,residence,residency,evidence,resident
起源,origin,organ,rigid,frigid
有方法的,methodical,noway,save,thickset
独奏,recital,requital,recite,rental
甜食,dessert,desert,dissent,dresser
想象的产物,fantasy,cocksure,horizontal,diaper
输电网(络),grid,glib,grim,braid
趋势,tendency,tenancy,impasse,superior
分配,allot,farmer,cash ,to exchange
忠实,fidelity,finality,infidelity,rough
捕获,capture,culture,rapture,captive
维护,assert,assess,assure,insert
计算,calculate,calculator,circulate,to perform calculations
说服,argue,arouse,arse,argot
扇形面,sector,selector,sect,rector
黄瓜,cucumber,encumber,soy bean,legumes
酬金,fee,flee,keep,pie
家常便饭,potluck,pluck,get or supply meals at a fixed rate,lunch
(工作等)棘手的,tricky,tick,trice,trick
浸湿,soak,cork,so,book
水珠,bead,beak,meal,mead
摘要,summary,summer,summat,to download
自然倾向,aptitude,attitude,altitude,amplitude
圆木桶,barrel,barber,bare,cartel
流星,meteoric,metric,meteor,meteorite
任何地方都不,nowhere,anywhere,cowherd,where
结合,coalition,condition,collision,volition
衰老,decrepit,deceit,decay,can still be considered
手册,manual,mental,maniac,maul
诅咒,oath,path,loath,lath
霉（因温湿而生）,mildew,vigilant,secular,inch
投降,surrender,suspender,to become reconciled,to talk sb. over
偏头痛,migraine,migrate,migrant,affix
令人尊敬,venerable,vegetable,venerate,vulnerable
守时,punctual,punctuate,interim,take the lead 
逃走,flee,flat,flier,flea
猛投,hurl,curl,our,dual
排水,drainage,army and government,mining industry,telecommunications
签名于下,underwrite,underrate,groundsman,collapse
给…开账单,bill,bell,ill,pill
释放,release,rehearse,lease,decease
做广告,advertise,adverse,bargain,on the market
充血,congestion,emerge prominently,expose,be complicated by
使就职,inaugurate,inaccurate,inaugural,tail
爬行,crawl,claw,trawl,scrawl
极好,superb,super,supper,suburb
短故事,anecdote,antidote,marvel,grudge
(与…)重叠,overlap,overtax,overload,overpay
模糊不清的事物,blur,blurt,beer,fur
供认,confession,concussion,conversion,concession
认为,take,toe,hale,tape
尊敬,esteem,teem,steep,steer
调整,regulate,regular,emulate,relate
游艇,yacht,ache,facet,tact
边远,outlying,outline,outgoing,remote
『化学』氰化物,cyanide,jet,approve,misapply
易弯,pliable,payable,liable,reliable
片面,unilateral,trilateral,bilateral,everything 
戏剧,dramatic,dogmatic,dramatics,dramatist
易燃,combustible,defensive ,merit,weak point
回去,back,duck,bark,nark
简单,primitive,equilibrium,trivial,troublesome
原油,crude,prude,ruse,brute
学术性的,academic,academy,indecent,playgoer
努力,strive,strife,string,tripe
辩明,explanatory,concerned,to know,to know well
香的,fragrant,vagrant,flagrant,fragment
汽车,hatchback,off-road vehicle,taxi,carriage
格言,aphorism,nutrition,amino,predicate
(马、自行车等的)鞍,saddle,sable,paddle,riddle
锭,ingot,not,inset,inmost
可怕,awful,lawful,manful,earful
无价值的,null,hull,scull,gull
有效,effective,elective,defective,strong
公告,bulletin,bullet,to announce,poster
（从灾难中）抢救,salvage,savage,sausage,ravage
语调,intonation,innovation,intention,invocation
调查,inquiry,inquire,iniquity,enquiry
中立,neutral,neutron,ventral,central
磨碎,grate,rat,erase,wrath
安静的地方,retreat,recreate,regret,treat
监督,superintend,for future reference,supervise and urge,oversee
显然,obvious,envious,devious,odious
社论,editorial,a type of literature consisting mainly of short sketches,paper,a book on Chinese  medicine
变成,become,income,welcome,begone
美学,aesthetics,linguistics,geometry,biology
合适,suitable,equitable,sizable,stable
使面临,confront,abattoir,tender,reverse
小册子,pamphlet,booklet,collection,new book
微生物,microbe,micron,disrobe,materials
类似,parallel,parable,asynchronous,such as
持久(力),endurance,insurance,entrance,showy
祝酒(辞),toast,post,tease,yeast
职业,professional,nuclear engineering,undertaking,operation
(使)绷紧,tighten,fighter,lighten,lighter
大雨,monsoon,pontoon,mansion,gust
在…中,amid,acid,aside,arid
前情,antecedent,dislike,democratic,lyric
开场白,prologue,prorogue,duologue,absurd statement
(日,eclipse,ellipse,elapse,divan
狂暴,furious,spurious,serious,curious
使恶心,sicken,silken,sick,thicken
禁止,inhibit,inhabit,inherit,to ratify
向四周溅出,splash,slash,plush,splay
能劝说的,persuasive,persuasion,pervasive,intimidate
暗示,hint,gin,taint,joint
合成物,composite,composure,compote,opposite
忍住,refrain,retain,remain,terrain
黄蜂,wasp,waif,rasp,as
愤怒,fume,full,jump,me
必然的事,certainty,certainly,certain,implement
保护,indemnity,indemnify,indignity,show some consideration
量…口径,calibrate,calibre,celebrate,celibate
相异,alien,align,alias,aspen
疲劳,fatigue,lazily,upright and unafraid,to pant
硬皮,crust,crush,cruise,rust
赶走,oust,court,aunt,hoist
延长,protract,protect,retract,protractor
副作用,side-effect,quick results,application,to verify
绝望,desperate,temperate,desperado,just
笨拙,clumsy,classy,clammy,lumpy
土产,indigenous,external,one's job,natural
初期,incipient,recipient,incident,late stage
重申,reiterate,literate,iterate,expand
猜疑,jealous,zealous,jealousy,serious
对立面,opposite,oppose,composite,military
好极了的,splendid,lackey,scriptural,native
征兆、预兆,omen,woman,ken,oven
抱负,ambition,addition,ambitious,audition
现象,phenomenon,phenomenal,spectacle,panoramic view
竞争场所,arena,agenda,ardent,hyena
砂砾层,gravel,ravel,gruel,travel
得自,derive,deride,derv,drove
令人精神爽快的,refreshing,payload,foible,grid
寄生动物,parasite,paradise,suspect,jump
缠绕,twist,twit,twin,wisp
被动,passive,massive,impassive,pensive
否定,denial,menial,dental,genial
简陋的小木屋,shanty,stiff,gnaw,plutocracy
保证,assure,assuage,ensure,assert
所在地,site,late,sip,suite
