#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
遗忘,oblivion,oblation,consciousness,to see through
宴会,banquet,parquet,barque,bouquet
异端,heterodox,heterodoxy,prejudice,political views
预防注射,inoculate,injection,vaccine,to give or have an acupuncture treatment
多种,multifarious,chiefly,twelfth,about a hundred
典礼,ceremony,hegemony,wedding,burial
后悔,rue,gut,rut,argue
油质,unctuous,sperm,vitality,frail
(士兵)离营,decamp,damp,decant,decade
分贝(音量的单位),decibel,decide,decimal,liable
神秘,uncanny,canny,nanny,publically
一致的或协调的行动,unison,prison,union,poison
(指数个圆)有同一中心的,concentric,overawe,biography,straight
想法与众不同的人,maverick,acid,cashier,spoon
管道,pipeline,sideline,wired,pipeline
食人者,cannibal,carnival,kitchen,primarily
好色,lecherous,bored stiff,full of  tenderness or affection ,bide one's time
良心,conscience,curiosity,deliberately,privacy
准确,nicety,nicely,ninety,nice
疯子,loon,sufferer,hermit,sick personnel
海拔,altitude,attitude,latitude,multitude
精神病,neurosis,neurotic,incurable disease,epidemic
犯罪,perpetrate,penetrate,perpetuate,kidnap
(无证据)陈述,allege,alley,allude,allergy
兄弟或姊妹,sibling,throne,mundane,bellboy
匙等餐具,cutlery,cutler,celery,scullery
恐高症,acrophobia,outrageous,kindred,forester
强有力的,mighty,eighty,sight,fight
有经验的,seasoned,ignore one's proper occupation,clumsy birds have to start flying early - the slow need to start early,childish
颠倒,topsy-turvy,hoisting,dispose,manipulate
固执,pertinacious,flexibility,terse and forceful,capable
潇洒,rakish,flatly,unruly,rigorous
相混,ore,nowadays,icy,serene
反面,reverse,traverse,inverse,revenge
危险,jeopardy,weather-beaten,public security,good health
困惑,perplexity,embarrassed,hate to leave a place where one has lived long,fascinate
矫揉造作成癖,mannerism,magnetism,ken,veterinary
对比,contrast,contract,contrary,contest
压迫,oppress,depress,express,compress
申请人,applicant,supplicant,member of State Council ,excess personnel
取消,negate,agate,berate,legate
听得见的,audible,edible,laudable,auricle
爱社交的,gregarious,precarious,sock,nestle
碘,iodine,dine,cosine,aspirin
不顺从的,disobedient,bracket,impose,misdirect
做手势表达,gesticulate,jiggle,budget,floor
纹章,blazon,blazer,blaze,baron
荒废,derelict,to cheer sb. on,collapse,toil
焚化,incinerate,to make a fire,heating,set off 
时间,temporal,temporary,idle days in winter,half a year
敏化,sensitization,immunize,civilian,commutator
变得粗糙,roughen,matter,juror,annexe
围裙,apron,prop,upon,matron
正面(的),obverse,reverse,diverse,verse
酒商,vintner,a small private business ,publisher,investor
阐明,elucidate,vindicate,to indicate,show
低垂,droop,troop,groom,drown
花岗石,granite,gravity,grant,grate
颁布,promulgate,give somebody a task,remote control,general mobilization 
退却,recoil,recall,coil,retail
毒素,toxin,login,toxic,join
预知,foreknowledge,fibre,sense,tow
熄...怒火,defuse,amorous,entrance,starling
朝圣客,pilgrim,Muslim,Buddhist monk,a Buddhist
坚信,conviction,convection,condition,nonfiction
参考书目,bibliography,nonstop,label,weed
粗人,lout,loss,nut,out
坦率,straightforwardness,honest and sincere,well-behaved,turn 
歌唱或背诵,chant,clank,ornament,flue
压缩,compress,congress,cypress,compass
裂口,fracture,feature,rapture,fault
仔细考虑,ponder,cinder,confer,yonder
虚构的东西,figment,pigment,fragment,segment
漫射,diffuse,disuse,suffuse,infuse
新手,tyro,fro,typo,tiro
背弃者,deserter,refugee,a wretched-looking tramp who lives by begging or stealing,captive
充当裁判,adjudicate,sigh,guide,ticker
高架渠,aqueduct,embankment,snare,revetment
耳语,whisper,whisker,shipper,wiper
目睹,behold,behind,behalf,beyond
贮藏处,cache,cash,cable,cliche
疑惑,incertitude,waken,fascinate,fascinated
靠不住的,parlous,easy,calamity,a land swarming with disaster victims
介入,intervene,intercede,interfere,interfere
命名,denominate,free ,repeal,original creation
使成熟,ripen,mien,pipe,river
即兴演讲,adlib,ware,stalemate,fetch
烧烤,broil,red-cooked  meat,mutton,fermented bean curd
恐怖,grisly,grille,grill,grassy
怠倦,languid,languor,languish,defeat
无所不在,ubiquitous,iniquitous,compile,codify
断言,aver,avow,area,taker
嘲笑,mockery,locker,cookery,monkey
肥料,fertilizer,fertilize,plastic cement,celluloid
节敛管理,husbandry,husband,hobble,tetanus
慢而平静地前进,jog,jowl,jug,fog
忘恩负义的人,ingrate,havoc,endear,disputable
傲慢,haughty,naughty,naught,draughty
使复活,resuscitate,repast,pregnant,outlying
关节炎,arthritis,stomach trouble,rhinitis,laryngitis
行动迟钝,sluggish,gallop,sudden,overnight
天真无邪的少女,ing,day,business,spate
树液,sap,cup,cap,soap
挖苦,ironic,chronic,iron,irony
非常整洁,well-groomed,jealous,payload,distance
大型轿车,limousine,abeyance,exhort,bonfire
胡扯,waffle,raffle,piffle,baffle
乞求者,supplicant,supplicate,applicant,supplant
节奏强的,pulsating,stud,boulder,invocation
空中秋千,trapeze,atheist,pennant,calibrate
内疚,guilt,gust,tilt,quilt
秘密的行动,stealth,sheath,health,wealth
资助,endow,envoy,enrol,now
成熟,full-fledged,laugh in  one's sleeve,to have the ears of grain come up,languish
混乱,welter,waiter,teller,weaver
不足,insufficient,loss,dynamic equilibrium,shortage
难驾驭的,refractory,refectory,destiny,deflate
牵强,far-fetched,accommodate something to circumstances,set up,mysterious
(船等)压舱物,ballast,gallant,blast,ballad
恐惧症,phobia,stylistic,additional,besiege
可解释的,explicable,calibrate,household,misread
攻击传统观念或风俗的人,iconoclast,cruise,mesmerize,boat
反对,disapprobation,endure,control,to support
从前,erstwhile,this morning,at the present time,since birth
流行一时,faddish,position,world,habit
矮胖,stocky,stormy,stock,stony
飞机库,hangar,hanger,haggard,anger
短暂,transitory,transistor,ice-cold,forever
美食家,epicure,picture,creator,observer
挤压,press,prose,express,dross
辱骂,vilify,hoot,strife,curse
蒸馏,distill,to process,distill,silver-plating
引起同情,touching,relax,leisurely,assignment
敏锐,acumen,acme,acute,silly
奴隶,thrall,reformer,candidate,voter
割让(土地权利),cede,jade,eye,code
分裂成小片,disintegrate,to separate,trinity,to have a reunion
昏睡,lethargic,pleasantly cool,to get up,fundraising
不能改变,unchangeable,avionics,day,disable
绑架,abduct,abrupt,adduce,duct
不屈不挠,perseverance,overbearing,bold and decisive,as one wishes
确证的,corroborative,eulogize,dislodge,goose
汽车前后的保险杠,bumper,dumper,butter,bump
轻蔑,slight,sight,might,light
广大,amplitude,aptitude,extensive,fascinating
谣言,canard,anecdote,it is said,gospel
免疫,immune,commune,impure,imbue
化身,reincarnation,down,waterfront,derv
孩子,brat,boat,draft,gram
(法官所用的)槌,gavel,adventurer,carnal,idleness
猛烈,boisterous,intense,nimble,mechanical
要求严格,exacting,deign,bandit,aspirin
电镀,galvanize,galvanic,galvanism,gild
老人病学,gerontology,knife,jean,widowed
胆小,cowardice,frail,clear,wise and farsighted
全权,plenary,plenty,penury,bleary
(声音)压低的,muffled,hurl,forgive,classroom
迷惑,captivate,captive,activate,capitate
雪白,alabaster,grizzled ,gray,tawny
知道,cognizant,forget,to remember,to penetrate
横跨一步以躲避,sidestep,oleaginous,fanatic,oven
兰花,orchid,Peony ,flower,plum blossom
糟粕,dregs,wart,political views,heritage
减去,deduct,detect,deduce,defunct
听觉,acoustic,caustic,acoustics,remote sensing
极大痛苦,anguish,vanquish,languish,English
争执,dissension,dimension,written polemics,plead innocence
(作为胜利标志的)花环,garland,gallant,grand,gland
网目,reticulation,rectangle,sphere,new kind
聚集,congregate,in large numbers,to part,centralized
愉快,jovial,social,oval,great celebration
幸福愉快感,euphoria,dally,idiotic,daytime
(声音)宏亮的,orotund,stereotype,piquant,accession
虚弱,infirm,affirm,inform,infer
高速公路,freeway,leeway,freely,roadside
令人厌恶,repellent,revelry,clergy,supervene
可行,feasible,sensible,no use,fail to understand
拙劣的模仿,parody,parry,prosy,parley
不受约束,uncommitted,stimulus,baritone,detour
暴君,despot,depot,deport,spot
组织适合性,histocompatibility,retain,censer,serpentine
零售,retail,retain,recoil,regal
不过分的,moderate,operate,moderately,modulate
无可救药,incorrigibility,country,zealous,stalagmite
自私自利者,egotist,gauge,wage,linesman
肉体,corporeal,virus,pathogeny,poisonous mushroom
粗鲁,asperity,zest,respectfully,refined
仪式,ritual,vital,visual,virtual
使不满,disaffect,construct,downward,distraught
肩带,sash,wash,mash,easy
工具,implement,complement,inclement,stationery
不和谐的,dissonant,dissonance,spume,hump
懦夫,poltroon,cavalier,volunteer,nobleman
新石器时代的,neolithic,explore,ebony,carefree
导致动乱,turbulent,purulent,manlike,dorm
穿衣,don,adorn,den,do
支付,disburse,disguise,disuse,disperse
纯朴,ingenuous,ingenious,harsh,sin
上升,upswing,increase in price,to weaken,run high
骄傲,upstage,wastage,uptake,postage
(外形或方式)怪诞的,grotesque,comical,secret,dubious
不肯轻信,incredulous,sanitation,antisocial,grate
犁,plough,rough,slough,pouch
令人厌恶,objectionable,quay,export,mid
看得见的,observable,suspicious,official,illegal
困境,dilemma,plight,underworld,current situation
使成颗粒,granulate,mercurial,youth,chink
离题,digressive,finance and economics,financial affairs,change
咀嚼,masticate,castigate,to be fond of,to recognize
腐蚀,erode,diode,broke,anode
固执的念头,obsession,possession,session,moult
(可供活动的)余地,leeway,freeway,irritant,discovery
(文艺的)类型,genre,injustice,eyelash,compatible
无动于衷,impassive,impasse,impulsive,passive
南极,Antarctic,mainland China,Western Hemisphere,the northern hemisphere
杏树,almond,banana,a species of apple which is slightly sour and astringent,ipecac
壮观,spectacular,long-range view,meet unexpectedly,background
引起烦恼,disturbing,odium,vaudeville,defective
邋遢,sloppy,soapy,slops,floppy
自由作家等,freelancer,diatribe,commutator,emigrant
幽默讽刺短剧,skit,suit,kit,sect
(把肉等)切成片,carve,cave,calve,ware
(说)两种语言的,bilingual,trilingual,crinkle,desirable
窃笑,snicker,to have the ears of grain come up,smile,ripe
报复,requite,requital,require,respite
压制,squelch,quench,impassable,to step across
问卷,questionnaire,enclosure,motion ,draft 
松弛,lax,wax,lamb,let
哄诱,coax,fax,hoax,coil
令人讨厌,rebarbative,gallon,literally,moment
可敬畏的,redoubtable,retention,invade,wheel
机敏,ready,steady,lead,reap
互相依赖,interdependent,shoelace,joker,blatant
定量配给,ration,action,ratio,station
贫穷,penury,sentry,plenary,perjury
首字母简略词,acronym,crony,antonym,collectively called
统一,unify,deify,edify,purify
血管,vascular,muscular,vein,pulse
木槌,mallet,ballet,pallet,valley
使服水土,acclimate,patience,tropical,nebula
草率,unadvised,close,haul,neglect
异常,aberrant,endure,despite,unlimited
隐性遗传,recessive,put,influx,waffle
名声,celebrity,celerity,celebrate,prestige
檐口装饰线(在房柱顶端的突出装饰线),cornice,fabric,dress,pesticide
值得信赖,trustworthy,true features,improper,naturally
糖尿病,diabetes,diameter,focus ,leukemia
广阔,spacious,specious,capacious,spurious
熟人,acquaintance,get on wel,ally,acquaintance
热诚,cordially,honesty,moderate ,violent
脑炎,encephalitis,paralysis,to sleepwalk,moisture
神龛,shrine,shrink,string,shine
(以烈火)烧灼,sear,pear,debar,snag
威严,august,gust,August,angst
没有根据,unwarranted,crescendo,quick,rotate
(为特殊目的)全套用品,outfit,outlet,outset,outbid
洞窟学,speleology,woolly,sheen,vile
笨拙的,maladroit,microscope,barbecue,reproach
无勇气的,nerveless,expense,ponder,drill
四溢,exude,elude,elide,nude
吊高,hoist,host,moist,noise
忠实,steadfast,gentle and soft,hypocritical,to revolt
明确,definitive,infinitive,definition,definite
为某物杀菌或消毒,disinfect,buffet,student,forward
无资格的,unqualified,aggregate,ancillary,landmark
不满,repine,repute,refine,ravine
争吵,squabble,quibble,equable,stubble
深谷,gulch,Pusan,foot of a mountain,Fragrance Hill 
稳定,equable,squabble,equal,equitable
破旧,dilapidated,shabby,simple and unadorned,vanity
牢骚,grouse,rouse,arouse,gorse
承受(困难),sustain,curtain,abstain,stain
(坏情况)开始发作,onset,net,inlet,upset
法定,statutory,novel,manifest,neither fish nor  fowl
完成,accomplish,accomplice,cash,convene
残害,mutilate,motivate,mitigate,favorable
纠缠,pester,fester,roster,pastor
保镖,bodyguard,serve,tend,to safeguard
粗野,lowbred,patient ,be concerned about face-saving,hasty
完整,intact,inapt,indict,infant
大房间中隔出的小室,cubicle,auricle,cubic,skin
炎热天气,sizzler,funny,rap,cuff
懒洋洋地坐或卧,loll,dole,lull,role
(宗教等)派系,sect,tent,yet,such
拍卖,auction,suction,section,faction
凶兆,portentous,whereabouts,whereabouts,meaning
有势力的,predominant,lore,often,alcove
发光,radiance,scattering,roar,refraction
教学法,methodology,a behavior,practice,multiplication
失语症,aphasia,deliver,BASIC,I
违抗,defiant,unconstitutional,offend,obedient
打断,interrupt,intercept,adhere,license 
灵巧,dexterous,arise from the dead,unaccommodating,not of imposing stature but strong and capable
克己,abnegate,negate,abrogate,forfeit 
无价值的,nugatory,diverse,purely,detailed
最接近的,proximate,proximity,primate,step by step
异教徒,infidel,saint,miser,believer
卵行,ovoid,bilingual,sterile,reef
平底无脚杯,tumbler,tumble,humble,fumble
琐事,trivia,housework,secret,marvel
触角,antenna,tail,horn,arm
欺骗某人,defraud,defray,fraud,spatter
嬉戏,frolic,ironic,colic,erotic
叫卖小贩,huckster,dealer,dealer,seller
撒,strew,strap,strip,stew
贫穷,needy,need,seedy,weedy
深谋远虑,calculating,greatly disappointed,agreeable,to satisfy
休闲的土地,fallow,wallop,hallow,fellow
饰带,fascia,morphine,son,jasmin
可恨,abhorrent,absorbent,abhorrence,touching
解剖学的,anatomical,conveyor,fad,whose
仓库,warehouse,nuclear power plant,barn,mine 
要点,gist,giant,list,gust
荒凉,desolate,resolute,isolate,detonate
亵渎,sacrilege,remedy,struggle,take a risk
沉着,self-possession,thirsting or hungering for sth.,urgent,be ill at ease
草率,perfunctory,idleness,haul,to waste
和解,reconciliation,flatter,tame,to convince
纵容,humor,to cheat,harbor,to hoodwink
全体意见一致的,unanimous,underling,custodian,rudiments
(动植物分类的)门,phylum,asylum,plum,hatch
类似,similarity,just like,following,as
易受影响,impressionable,diversion,congregate,shield
催眠,narcotic,arctic,vaccine,injection
谴责,reprehend,represent,apprehend,denounce
传教,preach,peach,breach,reach
闲荡,dawdle,dandle,paddle,dazzle
反常,freak,wreak,break,fret
异常,anomaly,animal,take a beating,bear
头脑冷静,levelheaded,act recklessly,urbane,careless
